tournament_year,match_date,stage,team_awarded,opponent,converted,taker,source_url
1970,1970-06-07,Group 4,West Germany,Bulgaria,yes,Müller,https://www.rsssf.org/tables/70full.html
1970,1970-06-11,Group 1,Mexico,Belgium,yes,Peña,https://www.rsssf.org/tables/70full.html
1970,1970-06-11,Group 3,England,Czechoslovakia,yes,Clarke,https://www.rsssf.org/tables/70full.html
1974,1974-06-23,Group 3,Netherlands,Bulgaria,yes,Neeskens,https://www.rsssf.org/tables/74full.html
1974,1974-06-23,Group 3,Netherlands,Bulgaria,yes,Neeskens,https://www.rsssf.org/tables/74full.html
1974,1974-06-26,Second round Group B,Sweden,Poland,no,Tapper,https://www.rsssf.org/tables/74full.html
1974,1974-06-30,Second round Group B,Poland,Yugoslavia,yes,Deyna,https://www.rsssf.org/tables/74full.html
1974,1974-06-30,Second round Group B,West Germany,Sweden,yes,Hoeneß,https://www.rsssf.org/tables/74full.html
1974,1974-07-03,Second round Group B,West Germany,Poland,no,Hoeneß,https://www.rsssf.org/tables/74full.html
1974,1974-07-07,Final,Netherlands,West Germany,yes,Neeskens,https://www.rsssf.org/tables/74full.html
1974,1974-07-07,Final,West Germany,Netherlands,yes,Breitner,https://www.rsssf.org/tables/74full.html
1978,1978-06-02,Group 2,Mexico,Tunisia,yes,Vázquez Ayala,https://www.rsssf.org/tables/78full.html
1978,1978-06-03,Group 4,Netherlands,Iran,yes,Rensenbrink,https://www.rsssf.org/tables/78full.html
1978,1978-06-03,Group 4,Netherlands,Iran,yes,Rensenbrink,https://www.rsssf.org/tables/78full.html
1978,1978-06-03,Group 4,Scotland,Peru,no,Masson,https://www.rsssf.org/tables/78full.html
1978,1978-06-06,Group 1,Hungary,Italy,yes,A.Tóth,https://www.rsssf.org/tables/78full.html
1978,1978-06-06,Group 1,Argentina,France,yes,Passarella,https://www.rsssf.org/tables/78full.html
1978,1978-06-07,Group 3,Austria,Sweden,yes,Krankl,https://www.rsssf.org/tables/78full.html
