competition,year,player,team,position,minutes,tackles,tackles_won,challenges_att,challenges_lost,fouls_committed,fouls_drawn,yellow_cards,red_cards,source_url
FIFA World Cup,2018,Cristian Pavón,Argentina,"FW,MF",155,,2,,,2,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Eduardo Salvio,Argentina,DF,145,,2,,,0,5,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Enzo Pérez,Argentina,MF,192,,2,,,5,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Federico Fazio,Argentina,DF,45,,0,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Franco Armani,Argentina,GK,180,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Gabriel Mercado,Argentina,DF,270,,4,,,8,5,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Gonzalo Higuaín,Argentina,FW,134,,0,,,2,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Javier Mascherano,Argentina,MF,360,,7,,,15,7,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Lionel Messi,Argentina,"MF,FW",360,,5,,,4,17,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Lucas Biglia,Argentina,MF,53,,1,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Marcos Acuña,Argentina,DF,90,,1,,,1,3,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Marcos Rojo,Argentina,DF,225,,2,,,3,2,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Maximiliano Meza,Argentina,"MF,FW",208,,2,,,3,7,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Nicolás Otamendi,Argentina,DF,360,,7,,,4,5,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Nicolás Tagliafico,Argentina,DF,349,,3,,,6,7,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Paulo Dybala,Argentina,DF,23,,0,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Sergio Agüero,Argentina,FW,179,,3,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Willy Caballero,Argentina,GK,180,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Ángel Di María,Argentina,"FW,MF",235,,0,,,1,7,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Éver Banega,Argentina,MF,217,,6,,,3,3,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Aaron Mooy,Australia,MF,270,,2,,,4,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Andrew Nabbout,Australia,FW,137,,0,,,1,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Aziz Behich,Australia,DF,270,,3,,,4,2,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Daniel Arzani,Australia,MF,63,,0,,,1,1,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Jackson Irvine,Australia,FW,47,,2,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Josh Risdon,Australia,DF,270,,8,,,4,1,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Mark Milligan,Australia,DF,270,,4,,,3,0,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Mathew Leckie,Australia,MF,270,,0,,,6,5,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Mathew Ryan,Australia,GK,270,,0,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Mile Jedinak,Australia,MF,270,,5,,,6,2,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Robbie Kruse,Australia,MF,207,,4,,,2,8,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Tim Cahill,Australia,FW,38,,0,,,2,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Tom Rogić,Australia,FW,223,,1,,,3,4,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Tomi Juric,Australia,FW,95,,0,,,1,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Trent Sainsbury,Australia,DF,270,,1,,,2,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Adnan Januzaj,Belgium,MF,85,,1,,,1,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Axel Witsel,Belgium,MF,539,,5,,,10,9,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Dedryck Boyata,Belgium,DF,270,,0,,,4,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Dries Mertens,Belgium,"MF,FW",298,,1,,,4,4,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Eden Hazard,Belgium,"MF,FW",517,,5,,,6,27,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Jan Vertonghen,Belgium,DF,540,,8,,,5,3,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Kevin De Bruyne,Belgium,"MF,FW",540,,5,,,5,3,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Leander Dendoncker,Belgium,DF,90,,1,,,2,1,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Marouane Fellaini,Belgium,MF,317,,6,,,11,6,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Michy Batshuayi,Belgium,FW,114,,0,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Mousa Dembélé,Belgium,MF,179,,5,,,7,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Nacer Chadli,Belgium,"DF,MF",326,,3,,,2,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Romelu Lukaku,Belgium,FW,473,,1,,,10,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Thibaut Courtois,Belgium,GK,630,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Thomas Meunier,Belgium,DF,450,,6,,,9,1,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Thomas Vermaelen,Belgium,DF,133,,1,,,3,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Thorgan Hazard,Belgium,"DF,FW",98,,3,,,1,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Toby Alderweireld,Belgium,DF,540,,7,,,4,1,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Vincent Kompany,Belgium,DF,377,,4,,,7,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Yannick Carrasco,Belgium,DF,238,,3,,,5,5,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Youri Tielemans,Belgium,MF,176,,3,,,4,3,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Alisson,Brazil,GK,450,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Casemiro,Brazil,MF,329,,10,,,4,2,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Danilo,Brazil,DF,90,,1,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Douglas Costa,Brazil,"FW,MF",78,,1,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Fagner,Brazil,DF,360,,5,,,7,3,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Fernandinho,Brazil,MF,158,,0,,,4,2,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Filipe Luís,Brazil,DF,171,,2,,,1,0,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Gabriel Jesus,Brazil,FW,404,,6,,,6,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Marcelo,Brazil,DF,279,,4,,,1,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Marquinhos,Brazil,"FW,DF",1,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Miranda,Brazil,DF,450,,7,,,8,4,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Neymar,Brazil,FW,450,,3,,,4,26,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Paulinho,Brazil,MF,349,,6,,,3,6,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Philippe Coutinho,Brazil,MF,434,,5,,,3,7,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Renato Augusto,Brazil,MF,53,,0,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Roberto Firmino,Brazil,"FW,MF",85,,1,,,2,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Thiago Silva,Brazil,DF,450,,4,,,2,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Willian,Brazil,FW,359,,3,,,5,10,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Abel Aguilar,Colombia,MF,31,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Carlos Bacca,Colombia,"FW,MF",94,,2,,,4,1,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Carlos Sánchez,Colombia,MF,170,,2,,,6,1,1,1,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Cristián Zapata,Colombia,MF,5,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,David Ospina,Colombia,GK,390,,0,,,0,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Davinson Sánchez,Colombia,DF,390,,4,,,3,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,James Rodríguez,Colombia,"FW,MF",152,,1,,,4,2,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Jefferson Lerma,Colombia,MF,176,,1,,,3,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Johan Mojica,Colombia,DF,390,,6,,,3,2,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,José Izquierdo,Colombia,MF,69,,0,,,1,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Juan Cuadrado,Colombia,"FW,MF",330,,1,,,4,12,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Juan Quintero,Colombia,MF,307,,3,,,1,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Luis Muriel,Colombia,FW,93,,2,,,3,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Mateus Uribe,Colombia,MF,183,,4,,,2,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Miguel Borja,Colombia,FW,2,,1,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Radamel Falcao,Colombia,FW,375,,1,,,7,9,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Santiago Arias,Colombia,DF,385,,3,,,9,5,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Wílmar Barrios,Colombia,"MF,DF",270,,12,,,8,3,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Yerry Mina,Colombia,DF,300,,3,,,6,5,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Óscar Murillo,Colombia,DF,90,,0,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Bryan Oviedo,Costa Rica,DF,180,,3,,,4,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Bryan Ruiz,Costa Rica,MF,270,,2,,,4,6,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Celso Borges,Costa Rica,MF,270,,3,,,2,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Christian Bolaños,Costa Rica,"MF,FW",68,,1,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Cristian Gamboa,Costa Rica,DF,253,,8,,,4,6,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Daniel Colindres,Costa Rica,MF,98,,1,,,4,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,David Guzmán,Costa Rica,MF,243,,1,,,7,1,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Francisco Calvo,Costa Rica,DF,106,,5,,,1,0,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Giancarlo González,Costa Rica,DF,270,,0,,,2,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Ian Smith,Costa Rica,DF,1,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Joel Campbell,Costa Rica,FW,115,,1,,,3,3,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Johan Venegas,Costa Rica,"MF,FW",149,,1,,,6,4,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Johnny Acosta,Costa Rica,DF,270,,3,,,1,5,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Kendall Waston,Costa Rica,DF,90,,0,,,0,1,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Keylor Navas,Costa Rica,GK,270,,1,,,0,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Marco Ureña,Costa Rica,FW,118,,2,,,4,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Randall Azofeifa,Costa Rica,MF,1,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Rodney Wallace,Costa Rica,MF,10,,0,,,1,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Yeltsin Tejeda,Costa Rica,MF,8,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Óscar Duarte,Costa Rica,DF,180,,0,,,2,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Andrej Kramarić,Croatia,"MF,FW",334,,2,,,2,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Ante Rebić,Croatia,"MF,FW",543,,7,,,21,11,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Danijel Subašić,Croatia,GK,630,,0,,,0,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Dejan Lovren,Croatia,DF,651,,5,,,7,6,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Domagoj Vida,Croatia,DF,630,,4,,,2,2,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Duje Ćaleta-Car,Croatia,DF,90,,0,,,1,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Filip Bradarić,Croatia,MF,26,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Ivan Perišić,Croatia,"MF,FW",629,,6,,,5,5,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Ivan Rakitić,Croatia,MF,640,,3,,,9,20,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Ivan Strinić,Croatia,DF,508,,6,,,10,8,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Josip Pivarić,Croatia,DF,203,,2,,,5,0,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Lovre Kalinić,Croatia,GK,90,,0,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Luka Modrić,Croatia,MF,691,,6,,,12,12,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Marcelo Brozović,Croatia,MF,459,,10,,,5,6,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Mario Mandžukić,Croatia,FW,605,,11,,,13,12,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Marko Pjaca,Croatia,"MF,DF",83,,1,,,1,4,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Mateo Kovačić,Croatia,"MF,FW",185,,6,,,3,7,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Milan Badelj,Croatia,MF,106,,2,,,4,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Tin Jedvaj,Croatia,DF,90,,1,,,1,0,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Vedran Ćorluka,Croatia,DF,121,,1,,,3,0,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Šime Vrsaljko,Croatia,DF,606,,4,,,10,7,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Andreas Christensen,Denmark,"DF,MF",305,,2,,,2,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Andreas Cornelius,Denmark,FW,162,,0,,,3,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Christian Eriksen,Denmark,"MF,FW",390,,2,,,1,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
