pair,pair_effect_mean,pair_effect_sd,referee,team,n_matches,yellows_total,yellows_mean,expected_nonpair,oe_ratio_raw,rate_ratio_shrunk,z,abs_rank,is_argentina,pair_effect_mean_2vc,abs_rank_2vc
Éric Poulat | Brazil,-0.001502,0.038848,Éric Poulat,Brazil,1,1,1.0,1.965039,0.508896,0.998499,-0.038664,431,False,-0.00031,403
Markus Merk | Australia,-0.001502,0.038818,Markus Merk,Australia,1,2,2.0,2.955043,0.676809,0.998499,-0.038688,432,False,-0.000287,432
René Ortubé | Nigeria,-0.001501,0.038848,René Ortubé,Nigeria,1,1,1.0,1.959179,0.510418,0.9985,-0.038633,433,False,-0.000331,383
Ali Bujsaim | Argentina,0.001486,0.038849,Ali Bujsaim,Argentina,1,3,3.0,1.990933,1.506831,1.001487,0.038246,434,True,0.000346,363
Victor Gomes | Australia,0.001474,0.038849,Victor Gomes,Australia,1,3,3.0,1.987266,1.509611,1.001475,0.037952,435,False,0.000285,436
Arturo Brizio Carter | Nigeria,0.001473,0.03882,Arturo Brizio Carter,Nigeria,1,4,4.0,2.978275,1.343059,1.001474,0.037942,436,False,0.000198,601
Ľuboš Micheľ | Portugal,0.00147,0.03882,Ľuboš Micheľ,Portugal,1,4,4.0,2.988007,1.338685,1.001471,0.037868,437,False,0.000296,423
Markus Merk | Serbia and Montenegro,0.001469,0.038819,Markus Merk,Serbia and Montenegro,1,4,4.0,2.980135,1.342221,1.00147,0.03785,438,False,0.000316,395
Markus Merk | Brazil,0.001465,0.038848,Markus Merk,Brazil,1,3,3.0,2.003383,1.497467,1.001466,0.037718,439,False,0.000251,493
Michael Oliver | Costa Rica,0.001464,0.038849,Michael Oliver,Costa Rica,1,3,3.0,1.997592,1.501808,1.001465,0.037682,440,False,0.000277,449
Mario van der Ende | Japan,0.001458,0.038848,Mario van der Ende,Japan,1,3,3.0,2.005072,1.496206,1.001459,0.037538,441,False,0.000241,510
Bernd Heynemann | Italy,0.001457,0.038848,Bernd Heynemann,Italy,1,3,3.0,2.000654,1.49951,1.001458,0.037493,442,False,0.000244,504
Ramesh Ramdhan | Japan,0.001455,0.038848,Ramesh Ramdhan,Japan,1,3,3.0,2.000525,1.499606,1.001456,0.037448,443,False,0.000237,519
Renato Marsiglia | Sweden,0.001453,0.038848,Renato Marsiglia,Sweden,1,3,3.0,2.001435,1.498924,1.001454,0.037399,444,False,0.000265,467
Rodrigo Badilla | Bulgaria,-0.001452,0.038849,Rodrigo Badilla,Bulgaria,1,1,1.0,1.929242,0.518338,0.998549,-0.037373,445,False,-0.000233,525
Jonas Eriksson | Cameroon,0.001451,0.038848,Jonas Eriksson,Cameroon,1,3,3.0,2.001183,1.499114,1.001452,0.037352,446,False,0.00027,462
Jamal Al Sharif | Cameroon,-0.001451,0.03882,Jamal Al Sharif,Cameroon,1,2,2.0,2.919708,0.685,0.99855,-0.037372,447,False,-0.000291,427
Joël Quiniou | Sweden,0.00145,0.038848,Joël Quiniou,Sweden,1,3,3.0,2.012039,1.491025,1.001451,0.037335,448,False,0.000258,483
Andrés Cunha | Australia,0.001448,0.038848,Andrés Cunha,Australia,1,3,3.0,2.00628,1.495305,1.001449,0.03728,449,False,0.000287,433
Edgardo Codesal | United States,-0.001445,0.038849,Edgardo Codesal,United States,1,1,1.0,1.928619,0.518506,0.998556,-0.037184,450,False,-0.000303,410
Arturo Angeles | Argentina,-0.001437,0.038849,Arturo Angeles,Argentina,1,1,1.0,1.919446,0.520984,0.998564,-0.037002,451,True,-0.000216,560
Alireza Faghani | Belgium,-0.001434,0.03885,Alireza Faghani,Belgium,1,1,1.0,1.920829,0.520609,0.998567,-0.036916,452,False,-0.000327,385
José Torres Cadena | Republic of Ireland,0.00143,0.038848,José Torres Cadena,Republic of Ireland,1,3,3.0,2.020957,1.484446,1.001431,0.036817,453,False,0.000231,529
Markus Merk | England,-0.001425,0.038849,Markus Merk,England,1,1,1.0,1.916931,0.521667,0.998576,-0.036692,454,False,-0.000363,338
Howard Webb | Slovakia,0.001424,0.038819,Howard Webb,Slovakia,1,4,4.0,3.009801,1.328992,1.001425,0.036685,455,False,0.000257,485
Ľuboš Micheľ | Ghana,0.00142,0.038759,Ľuboš Micheľ,Ghana,1,6,6.0,4.982735,1.204158,1.001421,0.036644,456,False,0.000294,424
Olegário Benquerença | Cameroon,-0.001409,0.03885,Olegário Benquerença,Cameroon,1,1,1.0,1.902624,0.52559,0.998592,-0.036272,457,False,-0.000264,471
Arturo Brizio Carter | Cameroon,-0.001408,0.03882,Arturo Brizio Carter,Cameroon,1,2,2.0,2.89402,0.69108,0.998593,-0.036267,458,False,-0.000262,475
Damir Skomina | Sweden,-0.001407,0.03885,Damir Skomina,Sweden,1,1,1.0,1.898893,0.526623,0.998594,-0.036214,459,False,-0.000281,441
Pierluigi Collina | Japan,-0.001406,0.038849,Pierluigi Collina,Japan,1,1,1.0,1.902437,0.525642,0.998595,-0.0362,460,False,-0.000286,434
Filippi Cavani | Germany,-0.001403,0.03885,Filippi Cavani,Germany,1,1,1.0,1.896676,0.527238,0.998598,-0.036124,461,False,-0.000269,464
Frank De Bleeckere | Ivory Coast,-0.001401,0.03882,Frank De Bleeckere,Ivory Coast,1,2,2.0,2.890958,0.691812,0.9986,-0.036081,462,False,-0.00025,495
Pirom Un-Prasert | Morocco,-0.001399,0.038849,Pirom Un-Prasert,Morocco,1,1,1.0,1.893392,0.528153,0.998602,-0.036005,463,False,-0.000273,453
Matthew Conger | Tunisia,-0.001398,0.038849,Matthew Conger,Tunisia,1,1,1.0,1.891144,0.52878,0.998603,-0.035972,464,False,-0.000244,506
Ali Bujsaim | Morocco,-0.001397,0.03885,Ali Bujsaim,Morocco,1,1,1.0,1.899242,0.526526,0.998604,-0.035955,465,False,-0.000284,437
Olegário Benquerença | Uruguay,0.001394,0.038847,Olegário Benquerença,Uruguay,1,3,3.0,2.041946,1.469187,1.001395,0.035882,466,False,0.000287,431
Björn Kuipers | Brazil,0.00139,0.038876,Björn Kuipers,Brazil,1,2,2.0,1.064332,1.879114,1.001391,0.035758,467,False,0.000263,472
Filippi Cavani | Spain,0.001388,0.038847,Filippi Cavani,Spain,1,3,3.0,2.04369,1.467933,1.001389,0.035737,468,False,0.000208,581
Jonas Eriksson | Brazil,-0.001387,0.03888,Jonas Eriksson,Brazil,1,0,0.0,0.901248,0.0,0.998614,-0.035676,469,False,-0.000278,448
Gianluca Rocchi | Portugal,-0.001387,0.038851,Gianluca Rocchi,Portugal,1,1,1.0,1.887112,0.52991,0.998614,-0.035699,470,False,-0.000245,503
Pierluigi Collina | Argentina,-0.001379,0.03885,Pierluigi Collina,Argentina,1,1,1.0,1.887521,0.529796,0.998622,-0.035506,471,True,-0.000197,603
Kim Milton Nielsen | Brazil,-0.001378,0.03885,Kim Milton Nielsen,Brazil,1,1,1.0,1.885763,0.530289,0.998622,-0.035482,472,False,-0.000279,447
Markus Merk | Ghana,0.001367,0.038817,Markus Merk,Ghana,1,4,4.0,3.049747,1.311584,1.001368,0.035215,473,False,0.000299,417
Alireza Faghani | Serbia,0.001366,0.038757,Alireza Faghani,Serbia,2,6,3.0,5.008417,1.197983,1.001367,0.03525,474,False,0.000427,259
José María García-Aranda | Yugoslavia,0.001366,0.038846,José María García-Aranda,Yugoslavia,1,3,3.0,2.057538,1.458053,1.001367,0.035166,475,False,0.00028,445
Janny Sikazwe | Japan,-0.001365,0.038851,Janny Sikazwe,Japan,1,1,1.0,1.873183,0.533851,0.998636,-0.035135,476,False,-0.0003,414
Cüneyt Çakır | Brazil,0.001349,0.038876,Cüneyt Çakır,Brazil,1,2,2.0,1.090903,1.833343,1.00135,0.0347,477,False,0.000239,515
Wolfgang Stark | Nigeria,-0.001345,0.038851,Wolfgang Stark,Nigeria,1,1,1.0,1.860769,0.537412,0.998656,-0.034629,478,False,-0.000314,399
Olegário Benquerença | South Korea,-0.001345,0.038851,Olegário Benquerença,South Korea,1,1,1.0,1.86221,0.536996,0.998656,-0.034621,479,False,-0.000248,497
Hugh Dallas | Belgium,-0.001338,0.038851,Hugh Dallas,Belgium,1,1,1.0,1.858734,0.538001,0.998663,-0.034427,480,False,-0.000307,405
Óscar Ruiz | Poland,0.001336,0.038846,Óscar Ruiz,Poland,1,3,3.0,2.08454,1.439166,1.001337,0.034397,481,False,0.000274,452
Terje Hauge | Cameroon,-0.001329,0.038851,Terje Hauge,Cameroon,1,1,1.0,1.847533,0.541262,0.998672,-0.03421,482,False,-0.000232,527
Michael Hester | Greece,-0.001329,0.038851,Michael Hester,Greece,1,1,1.0,1.845402,0.541887,0.998672,-0.034209,483,False,-0.000243,509
George Courtney | United Arab Emirates,0.001324,0.038846,George Courtney,United Arab Emirates,1,3,3.0,2.084474,1.439212,1.001325,0.034081,484,False,0.000258,484
Sándor Puhl | Sweden,-0.001324,0.038851,Sándor Puhl,Sweden,1,1,1.0,1.848158,0.541079,0.998677,-0.034072,485,False,-0.000261,478
Mario Sánchez Yanten | Saudi Arabia,-0.00132,0.038852,Mario Sánchez Yanten,Saudi Arabia,1,1,1.0,1.841791,0.54295,0.99868,-0.033986,486,False,-0.000286,435
Sandro Ricci | Denmark,-0.001301,0.038852,Sandro Ricci,Denmark,1,1,1.0,1.83385,0.545301,0.998699,-0.033495,487,False,-0.000234,523
Frank De Bleeckere | England,0.001301,0.038845,Frank De Bleeckere,England,1,3,3.0,2.110066,1.421756,1.001302,0.033498,488,False,0.000156,673
Benito Archundia | Brazil,0.0013,0.038815,Benito Archundia,Brazil,2,4,2.0,3.099171,1.290668,1.001301,0.033501,489,False,0.00022,550
Arturo Brizio Carter | Brazil,-0.001297,0.038852,Arturo Brizio Carter,Brazil,1,1,1.0,1.835101,0.544929,0.998704,-0.033386,490,False,-0.000273,456
Stéphanie Frappart | Costa Rica,-0.001296,0.038852,Stéphanie Frappart,Costa Rica,1,1,1.0,1.824474,0.548103,0.998705,-0.033353,491,False,-0.000243,508
Cüneyt Çakır | Morocco,-0.001293,0.038853,Cüneyt Çakır,Morocco,1,1,1.0,1.828797,0.546807,0.998708,-0.033282,492,False,-0.000262,474
Michael Oliver | Mexico,-0.001288,0.038853,Michael Oliver,Mexico,1,1,1.0,1.823515,0.548391,0.998713,-0.033138,493,False,-0.000217,553
Kim Young-joo | Brazil,-0.001286,0.038852,Kim Young-joo,Brazil,1,1,1.0,1.82108,0.549125,0.998715,-0.03309,494,False,-0.000272,457
Toru Kamikawa | Germany,-0.001285,0.038822,Toru Kamikawa,Germany,1,2,2.0,2.812871,0.711017,0.998716,-0.033097,495,False,-0.000253,491
Zoran Petrović | Sweden,0.001277,0.038874,Zoran Petrović,Sweden,1,2,2.0,1.13665,1.759557,1.001278,0.032858,496,False,0.00024,511
Antonio Mateu Lahoz | Iran,0.001276,0.038845,Antonio Mateu Lahoz,Iran,1,3,3.0,2.122749,1.413262,1.001277,0.032853,497,False,0.00022,549
Mark Shield | Iran,0.001276,0.038845,Mark Shield,Iran,1,3,3.0,2.119865,1.415185,1.001277,0.03285,498,False,0.000252,492
Graham Poll | Italy,-0.001275,0.038853,Graham Poll,Italy,1,1,1.0,1.818583,0.549879,0.998726,-0.032809,499,False,-0.000269,463
Benito Archundia | Paraguay,-0.001272,0.038852,Benito Archundia,Paraguay,1,1,1.0,1.818343,0.549951,0.998729,-0.032734,500,False,-0.000245,501
Marcel Van Langenhove | Egypt,-0.001268,0.038853,Marcel Van Langenhove,Egypt,1,1,1.0,1.807249,0.553327,0.998733,-0.03263,501,False,-0.000249,496
Ismail Elfath | Brazil,0.001266,0.038874,Ismail Elfath,Brazil,1,2,2.0,1.142554,1.750465,1.001267,0.03257,502,False,0.000226,536
Facundo Tello | Morocco,0.001262,0.038844,Facundo Tello,Morocco,1,3,3.0,2.125206,1.411628,1.001263,0.0325,503,False,0.000223,543
Héctor Baldassi | Switzerland,-0.001259,0.038853,Héctor Baldassi,Switzerland,1,1,1.0,1.80587,0.55375,0.998742,-0.032393,504,False,-0.000228,532
Sandro Ricci | Ghana,-0.001249,0.038853,Sandro Ricci,Ghana,1,1,1.0,1.798171,0.556121,0.998751,-0.032157,505,False,-0.000221,547
Urs Meier | Denmark,-0.001248,0.038853,Urs Meier,Denmark,1,1,1.0,1.79691,0.556511,0.998753,-0.032124,506,False,-0.000214,566
Mario van der Ende | Republic of Ireland,0.001247,0.038844,Mario van der Ende,Republic of Ireland,1,3,3.0,2.140706,1.401407,1.001248,0.032096,507,False,0.000193,613
Carlos Amarilla | United States,-0.001245,0.038823,Carlos Amarilla,United States,1,2,2.0,2.78594,0.71789,0.998756,-0.032062,508,False,-0.000281,442
Byron Moreno | South Korea,0.001242,0.038815,Byron Moreno,South Korea,1,4,4.0,3.122598,1.280985,1.001243,0.03201,509,False,0.000256,486
Olegário Benquerença | Japan,-0.001241,0.038853,Olegário Benquerença,Japan,1,1,1.0,1.792988,0.557728,0.998759,-0.031951,510,False,-0.000277,450
Coffi Codjia | Turkey,0.00124,0.038844,Coffi Codjia,Turkey,1,3,3.0,2.143097,1.399843,1.00124,0.031913,511,False,0.00027,461
Milorad Mažić | Senegal,-0.001239,0.038853,Milorad Mažić,Senegal,1,1,1.0,1.791284,0.558259,0.998762,-0.031885,512,False,-0.000228,534
Jerome Damon | Slovakia,-0.001239,0.038854,Jerome Damon,Slovakia,1,1,1.0,1.785195,0.560163,0.998762,-0.031882,513,False,-0.000225,539
Néstor Pitana | Denmark,-0.001236,0.038853,Néstor Pitana,Denmark,1,1,1.0,1.791732,0.558119,0.998765,-0.031804,514,False,-0.000215,563
Sándor Puhl | Brazil,-0.001234,0.038793,Sándor Puhl,Brazil,2,3,1.5,3.762619,0.797317,0.998767,-0.03181,515,False,-0.000265,468
José Roberto Wright | Austria,-0.00123,0.038853,José Roberto Wright,Austria,1,1,1.0,1.787461,0.559453,0.998771,-0.031658,516,False,-0.000207,583
Carlos Silva Valente | Republic of Ireland,-0.001228,0.038854,Carlos Silva Valente,Republic of Ireland,1,1,1.0,1.783628,0.560655,0.998773,-0.031612,517,False,-0.000273,455
Antonio Mateu Lahoz | Senegal,0.001228,0.038844,Antonio Mateu Lahoz,Senegal,1,3,3.0,2.152638,1.393639,1.001229,0.031614,518,False,0.000217,555
Ben Williams | South Korea,-0.001226,0.038854,Ben Williams,South Korea,1,1,1.0,1.781864,0.56121,0.998775,-0.031541,519,False,-0.000238,518
Vítor Melo Pereira | France,-0.00121,0.038854,Vítor Melo Pereira,France,1,1,1.0,1.775306,0.563283,0.998791,-0.031143,520,False,-0.000254,490
Epifanio González | Austria,-0.001207,0.038854,Epifanio González,Austria,1,1,1.0,1.767412,0.565799,0.998794,-0.031063,521,False,-0.000209,576
Markus Merk | Russia,0.001202,0.038843,Markus Merk,Russia,1,3,3.0,2.172136,1.381129,1.001203,0.030946,522,False,0.00026,480
Eddy Maillet | Paraguay,-0.001201,0.038854,Eddy Maillet,Paraguay,1,1,1.0,1.764506,0.566731,0.9988,-0.0309,523,False,-0.00024,512
César Arturo Ramos | Denmark,0.0012,0.038872,César Arturo Ramos,Denmark,1,2,2.0,1.18768,1.683956,1.001201,0.030877,524,False,0.000245,502
Antonio Mateu Lahoz | Qatar,0.0012,0.038844,Antonio Mateu Lahoz,Qatar,1,3,3.0,2.168724,1.383302,1.001201,0.030898,525,False,0.000213,568
Damir Skomina | Japan,-0.001199,0.038854,Damir Skomina,Japan,1,1,1.0,1.764463,0.566745,0.998801,-0.030866,526,False,-0.000255,487
Björn Kuipers | Uruguay,-0.00119,0.038824,Björn Kuipers,Uruguay,2,2,1.0,2.746616,0.728169,0.99881,-0.030662,527,False,-0.00018,635
Gehad Grisha | Panama,0.001176,0.038843,Gehad Grisha,Panama,1,3,3.0,2.176136,1.37859,1.001177,0.030287,528,False,0.000258,482
Hellmut Krug | Italy,-0.001175,0.038854,Hellmut Krug,Italy,1,1,1.0,1.749346,0.571642,0.998825,-0.030251,529,False,-0.000245,500
Massimo Busacca | England,-0.001174,0.038854,Massimo Busacca,England,1,1,1.0,1.752928,0.570474,0.998827,-0.03022,530,False,-0.000302,411
Viktor Kassai | Uruguay,-0.001171,0.038854,Viktor Kassai,Uruguay,1,1,1.0,1.748634,0.571875,0.99883,-0.030134,531,False,-0.000202,592
Enrique Cáceres | Russia,-0.00117,0.038855,Enrique Cáceres,Russia,1,1,1.0,1.742258,0.573968,0.998831,-0.03011,532,False,-0.000203,589
Rune Pedersen | Argentina,-0.00117,0.038855,Rune Pedersen,Argentina,1,1,1.0,1.746592,0.572543,0.998831,-0.030103,533,True,-0.000173,651
Rodrigo Badilla | Nigeria,-0.001168,0.038854,Rodrigo Badilla,Nigeria,1,1,1.0,1.744957,0.57308,0.998833,-0.030063,534,False,-0.000261,477
Koman Coulibaly | United States,-0.001165,0.038855,Koman Coulibaly,United States,1,1,1.0,1.740787,0.574453,0.998836,-0.02998,535,False,-0.00025,494
Graham Poll | Australia,-0.001162,0.038825,Graham Poll,Australia,1,2,2.0,2.732051,0.732051,0.998839,-0.029925,536,False,-0.000215,562
Graham Poll | Togo,0.001161,0.038813,Graham Poll,Togo,1,4,4.0,3.175355,1.259702,1.001162,0.029924,537,False,0.000218,551
Iván Barton | Switzerland,-0.001161,0.038854,Iván Barton,Switzerland,1,1,1.0,1.737743,0.575459,0.998839,-0.029888,538,False,-0.000198,600
Óscar Ruiz | Nigeria,-0.001161,0.038855,Óscar Ruiz,Nigeria,1,1,1.0,1.744073,0.57337,0.99884,-0.029873,539,False,-0.000281,443
Mustapha Ghorbal | Ecuador,-0.00116,0.038854,Mustapha Ghorbal,Ecuador,1,1,1.0,1.736238,0.575958,0.998841,-0.029849,540,False,-0.000234,522
Ali Bujsaim | Scotland,-0.001159,0.038855,Ali Bujsaim,Scotland,1,1,1.0,1.742194,0.573989,0.998841,-0.029839,541,False,-0.000244,507
Bernd Heynemann | Colombia,-0.001158,0.038855,Bernd Heynemann,Colombia,1,1,1.0,1.736529,0.575861,0.998842,-0.029812,542,False,-0.000223,545
Howard Webb | Switzerland,0.001158,0.038814,Howard Webb,Switzerland,1,4,4.0,3.186537,1.255281,1.001159,0.029833,543,False,0.000209,578
Francisco Oscar Lamolina | Italy,-0.001157,0.038855,Francisco Oscar Lamolina,Italy,1,1,1.0,1.737465,0.575551,0.998844,-0.029777,544,False,-0.000246,498
Enrique Cáceres | Egypt,-0.001156,0.038855,Enrique Cáceres,Egypt,1,1,1.0,1.731702,0.577466,0.998845,-0.029742,545,False,-0.00023,530
Lu Jun | United States,-0.001155,0.038854,Lu Jun,United States,1,1,1.0,1.736398,0.575905,0.998846,-0.029723,546,False,-0.000232,526
César Arturo Ramos | Tunisia,-0.001149,0.038855,César Arturo Ramos,Tunisia,1,1,1.0,1.734748,0.576453,0.998851,-0.029581,547,False,-0.0002,594
Howard Webb | Spain,0.001148,0.038783,Howard Webb,Spain,2,5,2.5,4.176647,1.197132,1.001148,0.029595,548,False,5.9e-05,897
Tullio Lanese | Sweden,-0.001142,0.038856,Tullio Lanese,Sweden,1,1,1.0,1.731771,0.577444,0.998858,-0.029403,549,False,-0.000244,505
Massimo Busacca | Argentina,-0.001142,0.038825,Massimo Busacca,Argentina,1,2,2.0,2.719047,0.735552,0.998859,-0.029412,550,True,-0.000128,734
Néstor Pitana | Germany,0.00114,0.038871,Néstor Pitana,Germany,1,2,2.0,1.227282,1.629617,1.001141,0.029329,551,False,0.000216,556
Neji Jouini | Brazil,0.001136,0.038872,Neji Jouini,Brazil,1,2,2.0,1.231292,1.62431,1.001137,0.029229,552,False,0.000197,604
Nawaf Shukralla | Poland,-0.001134,0.038856,Nawaf Shukralla,Poland,1,1,1.0,1.722526,0.580543,0.998867,-0.029187,553,False,-0.000205,587
Carlos Simon | United States,0.001131,0.038842,Carlos Simon,United States,1,3,3.0,2.221976,1.35015,1.001132,0.029125,554,False,0.000183,629
Rune Pedersen | Jamaica,0.001129,0.038842,Rune Pedersen,Jamaica,1,3,3.0,2.210638,1.357074,1.001129,0.029061,555,False,0.000207,582
Hugh Dallas | Italy,0.001127,0.038842,Hugh Dallas,Italy,1,3,3.0,2.21828,1.352399,1.001128,0.029023,556,False,0.000174,648
Ravshan Irmatov | Mexico,0.00112,0.038812,Ravshan Irmatov,Mexico,2,4,2.0,3.217076,1.243365,1.00112,0.028847,557,False,0.000265,469
Wilmar Roldán | South Korea,0.001114,0.038871,Wilmar Roldán,South Korea,1,2,2.0,1.241661,1.610745,1.001114,0.028656,558,False,0.000224,541
Carlos Maciel | Scotland,-0.001107,0.038856,Carlos Maciel,Scotland,1,1,1.0,1.703139,0.587151,0.998894,-0.028492,559,False,-0.000228,535
Antonio Mateu Lahoz | Iceland,0.001106,0.038842,Antonio Mateu Lahoz,Iceland,1,3,3.0,2.230877,1.344763,1.001107,0.028486,560,False,0.000176,645
Márcio Rezende de Freitas | Belgium,-0.001106,0.038856,Márcio Rezende de Freitas,Belgium,1,1,1.0,1.703638,0.586979,0.998895,-0.028452,561,False,-0.000255,488
Wilton Sampaio | England,-0.001103,0.038856,Wilton Sampaio,England,1,1,1.0,1.702731,0.587292,0.998897,-0.028399,562,False,-0.000299,418
Coffi Codjia | Costa Rica,-0.001102,0.038767,Coffi Codjia,Costa Rica,2,4,2.0,4.661106,0.858165,0.998899,-0.028416,563,False,-0.000179,638
Ravshan Irmatov | Uruguay,-0.001101,0.038826,Ravshan Irmatov,Uruguay,1,2,2.0,2.694202,0.742335,0.9989,-0.028356,564,False,-0.000206,584
Carlos Batres | Algeria,0.001101,0.038841,Carlos Batres,Algeria,1,3,3.0,2.233183,1.343374,1.001101,0.02834,565,False,0.000199,596
Helmut Kohl | West Germany,-0.001099,0.038856,Helmut Kohl,West Germany,1,1,1.0,1.699484,0.588414,0.998902,-0.028282,566,False,-0.000213,570
Wolfgang Stark | South Korea,0.001099,0.038841,Wolfgang Stark,South Korea,1,3,3.0,2.235561,1.341945,1.001099,0.02829,567,False,0.000225,538
José María García-Aranda | Croatia,0.001099,0.038841,José María García-Aranda,Croatia,1,3,3.0,2.234832,1.342383,1.001099,0.028285,568,False,0.000217,552
Carlos Simon | England,0.001098,0.038811,Carlos Simon,England,2,4,2.0,3.230595,1.238162,1.001098,0.028287,569,False,6e-05,895
Graham Poll | Ukraine,0.001097,0.038841,Graham Poll,Ukraine,1,3,3.0,2.236572,1.341339,1.001098,0.02825,570,False,0.000211,574
Brian Hall | Ecuador,0.001094,0.03884,Brian Hall,Ecuador,1,3,3.0,2.235285,1.34211,1.001094,0.028156,571,False,0.000214,564
Sandro Ricci | Nigeria,-0.001089,0.038856,Sandro Ricci,Nigeria,1,1,1.0,1.695453,0.589813,0.998911,-0.028037,572,False,-0.000254,489
Wolfgang Stark | Argentina,-0.001083,0.038856,Wolfgang Stark,Argentina,1,1,1.0,1.691392,0.591229,0.998918,-0.027864,573,True,-0.000158,671
Carlos Velasco Carballo | Brazil,0.00108,0.03887,Carlos Velasco Carballo,Brazil,1,2,2.0,1.261951,1.584847,1.001081,0.027789,574,False,0.000191,617
Gamal Al-Ghandour | Paraguay,0.00108,0.03884,Gamal Al-Ghandour,Paraguay,1,3,3.0,2.251856,1.332234,1.001081,0.027805,575,False,0.000209,579
Kyros Vassaras | China,0.00108,0.038841,Kyros Vassaras,China,1,3,3.0,2.240758,1.338833,1.00108,0.027801,576,False,0.000198,599
Bakary Gassama | Netherlands,-0.001072,0.038827,Bakary Gassama,Netherlands,2,2,1.0,2.666725,0.749984,0.998928,-0.027615,577,False,-0.000113,774
Neji Jouini | Argentina,0.001068,0.038841,Neji Jouini,Argentina,1,3,3.0,2.258691,1.328203,1.001068,0.027492,578,True,0.000261,476
Said Belqola | Argentina,0.001067,0.038841,Said Belqola,Argentina,1,3,3.0,2.259794,1.327555,1.001068,0.027474,579,True,0.000262,473
Marco Rodríguez | Algeria,-0.001065,0.038857,Marco Rodríguez,Algeria,1,1,1.0,1.678181,0.595883,0.998935,-0.027419,580,False,-0.000209,575
Carlos Batres | Germany,0.001062,0.038841,Carlos Batres,Germany,1,3,3.0,2.263898,1.325148,1.001063,0.027351,581,False,0.000202,590
Carlos Simon | Sweden,0.001062,0.038751,Carlos Simon,Sweden,2,6,3.0,5.225461,1.148224,1.001062,0.027393,582,False,0.000158,669
Alberto Tejada Noriega | Sweden,-0.00106,0.038857,Alberto Tejada Noriega,Sweden,1,1,1.0,1.674921,0.597043,0.99894,-0.02729,583,False,-0.000217,554
Enrique Osses | Japan,0.00106,0.03887,Enrique Osses,Japan,1,2,2.0,1.275188,1.568397,1.001061,0.02728,584,False,0.000178,641
Felix Brych | Belgium,0.001058,0.03887,Felix Brych,Belgium,1,2,2.0,1.278166,1.564742,1.001059,0.027218,585,False,0.000161,666
George Courtney | Italy,-0.001053,0.038857,George Courtney,Italy,1,1,1.0,1.671649,0.598212,0.998947,-0.027106,586,False,-0.000228,533
Felix Brych | Switzerland,-0.001051,0.038857,Felix Brych,Switzerland,1,1,1.0,1.667901,0.599556,0.99895,-0.027036,587,False,-0.000185,627
Chris Beath | Poland,-0.001046,0.038857,Chris Beath,Poland,1,1,1.0,1.66156,0.601844,0.998954,-0.026922,588,False,-0.000191,618
Cüneyt Çakır | England,-0.00104,0.038857,Cüneyt Çakır,England,1,1,1.0,1.663443,0.601163,0.998961,-0.026763,589,False,-0.000283,440
Edgardo Codesal | Argentina,0.001034,0.03884,Edgardo Codesal,Argentina,1,3,3.0,2.282137,1.314557,1.001035,0.026625,590,True,0.000264,470
Lim Kee Chong | Russia,0.001034,0.03884,Lim Kee Chong,Russia,1,3,3.0,2.274359,1.319053,1.001035,0.026625,591,False,0.000229,531
Marco Rodríguez | Australia,0.001033,0.03884,Marco Rodríguez,Australia,1,3,3.0,2.283127,1.313987,1.001033,0.026583,592,False,0.000194,608
Michel Vautrot | Netherlands,-0.001022,0.038858,Michel Vautrot,Netherlands,1,1,1.0,1.654248,0.604504,0.998978,-0.026309,593,False,-0.000139,709
Cüneyt Çakır | Russia,0.001022,0.03887,Cüneyt Çakır,Russia,1,2,2.0,1.302331,1.535708,1.001023,0.026297,594,False,0.000208,580
Mario Escobar | Wales,-0.001022,0.038858,Mario Escobar,Wales,1,1,1.0,1.644018,0.608266,0.998979,-0.0263,595,False,-0.000196,606
Edgardo Codesal | Cameroon,0.001021,0.03884,Edgardo Codesal,Cameroon,1,3,3.0,2.287922,1.311233,1.001021,0.026285,596,False,0.000209,577
José Roberto Wright | West Germany,-0.001021,0.038858,José Roberto Wright,West Germany,1,1,1.0,1.648994,0.60643,0.99898,-0.026265,597,False,-0.000192,615
Djamel Haimoudi | Australia,-0.001015,0.038858,Djamel Haimoudi,Australia,1,1,1.0,1.643969,0.608284,0.998985,-0.02613,598,False,-0.000196,605
Kim Milton Nielsen | Belgium,-0.001015,0.038857,Kim Milton Nielsen,Belgium,1,1,1.0,1.648524,0.606603,0.998985,-0.026128,599,False,-0.000224,542
Szymon Marciniak | Germany,0.00101,0.038869,Szymon Marciniak,Germany,1,2,2.0,1.31215,1.524216,1.00101,0.025977,600,False,0.000193,612
Javier Castrilli | Romania,0.001009,0.03884,Javier Castrilli,Romania,1,3,3.0,2.289642,1.310248,1.00101,0.025989,601,False,0.000213,567
Yuichi Nishimura | Honduras,-0.001008,0.038828,Yuichi Nishimura,Honduras,1,2,2.0,2.624603,0.76202,0.998992,-0.025972,602,False,-0.000189,621
Vincent Mauro | South Korea,-0.001004,0.038858,Vincent Mauro,South Korea,1,1,1.0,1.639612,0.609901,0.998996,-0.025848,603,False,-0.000175,647
Carlos Silva Valente | Italy,-0.001003,0.038858,Carlos Silva Valente,Italy,1,1,1.0,1.639051,0.610109,0.998997,-0.025824,604,False,-0.000216,559
