pair,pair_effect_mean,pair_effect_sd,referee,team,n_matches,yellows_total,yellows_mean,expected_nonpair,oe_ratio_raw,rate_ratio_shrunk,z,abs_rank,is_argentina,pair_effect_mean_2vc,abs_rank_2vc
Cüneyt Çakır | Algeria,0.001926,0.038858,Cüneyt Çakır,Algeria,1,3,3.0,1.695884,1.768988,1.001928,0.049573,308,False,0.000357,346
Wilton Sampaio | France,0.001923,0.038858,Wilton Sampaio,France,1,3,3.0,1.698781,1.765972,1.001925,0.049491,309,False,0.000347,359
Elías Jácome | Spain,-0.001923,0.038869,Elías Jácome,Spain,1,0,0.0,1.252717,0.0,0.998079,-0.049469,310,False,-0.0004,287
Gianluca Rocchi | Senegal,0.001919,0.038858,Gianluca Rocchi,Senegal,1,3,3.0,1.699439,1.765288,1.001921,0.049393,311,False,0.000376,314
Siegfried Kirschen | Czechoslovakia,0.001916,0.038858,Siegfried Kirschen,Czechoslovakia,1,3,3.0,1.700783,1.763893,1.001918,0.049306,312,False,0.000405,281
William Mattus | Ecuador,-0.001912,0.03884,William Mattus,Ecuador,1,1,1.0,2.228582,0.448716,0.99809,-0.049228,313,False,-0.00037,328
Ángel Sánchez | South Korea,0.00191,0.038829,Ángel Sánchez,South Korea,1,4,4.0,2.689937,1.487024,1.001912,0.0492,314,False,0.000371,322
Vítor Melo Pereira | Mexico,0.001904,0.038739,Vítor Melo Pereira,Mexico,2,7,3.5,5.646431,1.239721,1.001905,0.049141,315,False,0.000462,206
Pablo Pozo | Netherlands,0.001903,0.038858,Pablo Pozo,Netherlands,1,3,3.0,1.711446,1.752904,1.001905,0.04897,316,False,0.000423,267
Carlos Amarilla | Switzerland,-0.001896,0.03884,Carlos Amarilla,Switzerland,1,1,1.0,2.22074,0.4503,0.998106,-0.048809,317,False,-0.000338,375
Joël Quiniou | Italy,-0.001895,0.03875,Joël Quiniou,Italy,3,4,1.333333,5.196907,0.769689,0.998107,-0.048906,318,False,-0.000437,248
Iván Barton | Germany,-0.001888,0.03887,Iván Barton,Germany,1,0,0.0,1.229498,0.0,0.998114,-0.048569,319,False,-0.000357,348
Victor Gomes | Spain,-0.001884,0.03887,Victor Gomes,Spain,1,0,0.0,1.225601,0.0,0.998117,-0.04848,320,False,-0.000392,292
Cüneyt Çakır | Iran,0.001883,0.038857,Cüneyt Çakır,Iran,1,3,3.0,1.726398,1.737722,1.001885,0.048464,321,False,0.000361,340
Toru Kamikawa | Republic of Ireland,0.001883,0.038857,Toru Kamikawa,Republic of Ireland,1,3,3.0,1.726772,1.737345,1.001885,0.048457,322,False,0.000331,381
Alireza Faghani | Portugal,0.001881,0.038857,Alireza Faghani,Portugal,1,3,3.0,1.729153,1.734954,1.001883,0.048411,323,False,0.000371,321
Peter Mikkelsen | Colombia,0.001881,0.038856,Peter Mikkelsen,Colombia,1,3,3.0,1.727586,1.736527,1.001882,0.048399,324,False,0.000372,318
Viktor Kassai | United States,0.001879,0.038856,Viktor Kassai,United States,1,3,3.0,1.727798,1.736314,1.001881,0.048357,325,False,0.000349,355
José Roberto Wright | Italy,-0.001877,0.03887,José Roberto Wright,Italy,1,0,0.0,1.225939,0.0,0.998124,-0.048301,326,False,-0.000372,320
Peter Mikkelsen | Netherlands,-0.001877,0.03884,Peter Mikkelsen,Netherlands,1,1,1.0,2.210356,0.452416,0.998124,-0.048334,327,False,-0.000266,466
Coffi Codjia | Saudi Arabia,-0.001873,0.03881,Coffi Codjia,Saudi Arabia,1,2,2.0,3.19217,0.626533,0.998128,-0.04827,328,False,-0.000428,256
