official,matches,wins,draws,losses,card_net,roles,years,ref_matches,win_pct,card_net_pm
Sten Ahlner,2,1,0,1,0,assistant2/referee,1958,1,50,0.0
Bobby Davidson,2,0,0,2,-1,assistant1/referee,1974,1,0,-0.5
Clive Thomas,2,0,1,1,-2,assistant1/referee,1974,1,0,-1.0
Jack Taylor,2,0,1,1,-1,assistant2/referee,1974,1,0,-0.5
Károly Palotai,2,0,1,1,0,assistant1/referee,1978/1982,1,0,0.0
Pavel Kazakov,2,0,1,1,1,assistant2/referee,1974,1,0,0.5
Reginald Leafe,2,0,0,2,0,assistant1/referee,1958,1,0,0.0
Adam Kupsik,1,1,0,0,0,assistant2,2026,0,100,0.0
Ahmed Hossam Taha,1,1,0,0,0,assistant2,2026,0,100,0.0
Alberto Warnken,1,1,0,0,0,assistant2,1930,0,100,0.0
Alessandro Stagnoli,1,1,0,0,2,assistant2,2006,0,100,2.0
Alexey Spirin,1,1,0,0,-1,assistant1,1990,0,100,-1.0
Ali Bin Nasser,1,1,0,0,0,referee,1986,1,100,0.0
Amin Omar,1,1,0,0,0,referee,2026,1,100,0.0
Antonio Mateu Lahoz,1,1,0,0,0,referee,2022,1,100,0.0
António Garrido,1,1,0,0,1,referee,1978,1,100,1.0
Aristidis Chris Soldatos,1,1,0,0,1,assistant1,1998,0,100,1.0
Armando Villarreal,1,1,0,0,0,var,2026,0,100,0.0
Arturo Angeles,1,1,0,0,1,referee,1994,1,100,1.0
Augusto Lamo Castillo,1,1,0,0,1,assistant1,1982,0,100,1.0
Ben Williams,1,1,0,0,1,fourth_official,2014,0,100,1.0
Benoît Millot,1,1,0,0,2,avar3,2022,0,100,2.0
Björn Kuipers,1,1,0,0,-1,fourth_official,2018,0,100,-1.0
Bo Karlsson,1,1,0,0,1,referee,1994,1,100,1.0
Bogdan Dotchev,1,1,0,0,0,assistant1,1986,0,100,0.0
Bruno Jesus,1,1,0,0,-2,assistant1,2026,0,100,-2.0
Buergo,1,1,0,0,0,assistant2,1962,0,100,0.0
Campbell-Kirk Kawana-Waugh,1,1,0,0,0,fourth_official,2026,0,100,0.0
Corey Parker,1,1,0,0,-2,assistant1,2026,0,100,-2.0
Cristiano Copelli,1,1,0,0,2,assistant1,2006,0,100,2.0
Cyril Mugnier,1,1,0,0,4,assistant1,2026,0,100,4.0
César Guerrero Orosco,1,1,0,0,1,assistant1,1978,0,100,1.0
Dahane Beida,1,1,0,0,3,fourth_official,2026,0,100,3.0
Dalibor Đurđević,1,1,0,0,2,assistant2,2014,0,100,2.0
Daniel Wärnmark,1,1,0,0,-1,assistant2,2014,0,100,-1.0
Dennis Higler,1,1,0,0,0,avar1,2026,0,100,0.0
Dimitar Rumenchev,1,1,0,0,0,referee,1966,1,100,0.0
Djamel Haimoudi,1,1,0,0,0,fourth_official,2014,0,100,0.0
Eddie Foley,1,1,0,0,3,assistant2,1998,0,100,3.0
Espen Eskås,1,1,0,0,4,fourth_official,2026,0,100,4.0
Essam Abd El Fatah,1,1,0,0,2,fourth_official,2006,0,100,2.0
Fedayi San,1,1,0,0,3,avar1,2026,0,100,3.0
Ferdinand Biwersi,1,1,0,0,0,assistant1,1978,0,100,0.0
Ferencz Tunyogi,1,1,0,0,3,assistant2,2026,0,100,3.0
Fernando Guerrero,1,1,0,0,-2,avar3,2022,0,100,-2.0
Francesco Buragina,1,1,0,0,2,assistant1,2006,0,100,2.0
François Letexier,1,1,0,0,4,referee,2026,1,100,4.0
Frédéric Arnault,1,1,0,0,-1,assistant1,2002,0,100,-1.0
Gabriel González,1,1,0,0,2,assistant1,1986,0,100,2.0
Gaspar Vallejo,1,1,0,0,0,assistant1,1930,0,100,0.0
Gennaro Mazzei,1,1,0,0,2,assistant2,1998,0,100,2.0
George Courtney,1,1,0,0,1,assistant2,1986,0,100,1.0
Gilberto de Almeida Rêgo,1,1,0,0,0,referee,1930,1,100,0.0
Gilles Veissière,1,1,0,0,-1,referee,2002,1,100,-1.0
Gualberto Alonso,1,1,0,0,0,assistant1,1930,0,100,0.0
Guillermo Pacheco,1,1,0,0,-2,var,2026,0,100,-2.0
Halim Abdul Hamid,1,1,0,0,-2,assistant1,1998,0,100,-2.0
Hessel Steegstra,1,1,0,0,0,assistant1,2022,0,100,0.0
Ivan Bebek,1,1,0,0,0,avar1,2026,0,100,0.0
Jafar Namdar,1,1,0,0,0,assistant1,1978,0,100,0.0
Jamal Al Sharif,1,1,0,0,-3,assistant2,1990,0,100,-3.0
Jan Dolstra,1,1,0,0,1,assistant2,1994,0,100,1.0
Jan de Vries,1,1,0,0,0,assistant2,2022,0,100,0.0
Jan-Hendrik Salver,1,1,0,0,0,assistant1,2010,0,100,0.0
Jean Dubach,1,1,0,0,1,referee,1978,1,100,1.0
Jesús Díaz,1,1,0,0,2,assistant2,1986,0,100,2.0
Joel Aguilar,1,1,0,0,0,referee,2014,1,100,0.0
José Luis Martínez Bazán,1,1,0,0,-1,assistant1,1986,0,100,-1.0
José Roberto Wright,1,1,0,0,-3,assistant1,1990,0,100,-3.0
João Pinheiro,1,1,0,0,-2,referee,2026,1,100,-2.0
Joël Quiniou,1,1,0,0,-1,referee,1990,1,100,-1.0
Juan Zumba,1,1,0,0,0,assistant2,2014,0,100,0.0
Katia García,1,1,0,0,0,fourth_official,2026,0,100,0.0
Khamis Al-Marri,1,1,0,0,0,var,2026,0,100,0.0
Kim Milton Nielsen,1,1,0,0,-2,referee,1998,1,100,-2.0
Kurt Röthlisberger,1,1,0,0,-2,referee,1990,1,100,-2.0
Leslie Mottram,1,1,0,0,1,fourth_official,1994,0,100,1.0
Luciano Maia,1,1,0,0,-2,assistant2,2026,0,100,-2.0
