era,team_name,matches,wins,draws,losses,goals_for,goals_against,yellows_received,dismissals_received,pen_goals_for,yellows_drawn,dismissals_drawn,pen_goals_against,eb_yellows_received,eb_dismissals_received,eb_yellows_drawn,eb_dismissals_drawn,eb_pen_goals_for,eb_pen_goals_against,eb_card_net,eb_pen_net,eb_card_net_rank,eb_pen_net_rank
1930-1966,United States,7,3,0,4,12,21,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.10691355529990565,0.08758766176959935,0.0,0.019325893530306296,1,10
1930-1966,Uruguay,20,12,3,5,52,28,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.06453461398885339,0.1288203132479742,0.0,-0.0642856992591208,1,38
1930-1966,Wales,5,1,3,1,4,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08792066691852557,0.09080806288555064,0.0,-0.002887395967025072,1,26
1930-1966,West Germany,22,13,4,5,56,36,0,0,4,0,0,2,0.0,0.0,0.0,0.0,0.130825605414963,0.09719870293414128,0.0,0.033626902480821716,1,3
1930-1966,Yugoslavia,19,9,3,7,33,27,0,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0837524637220706,0.10146208452946583,0.0,-0.01770962080739523,1,31
1970-1986,Algeria,6,2,1,3,6,10,4,0,0,6,0,1,0.9220823756608038,0.040862629885057844,1.0032504891383538,0.04952829588679318,0.09031011678349456,0.13206445949725176,0.08116811347755004,-0.041754342713757206,12,32
1970-1986,Argentina,25,14,4,7,46,28,31,2,2,32,2,1,1.1397960361052828,0.06382278487044511,1.184410142536349,0.04952831726773707,0.09416010793075547,0.053093003352657674,0.044614106431066114,0.04106710457809779,16,10
1970-1986,Australia,3,0,1,2,0,5,1,1,0,3,0,0,0.9112330736081022,0.07673635546859654,1.0038487739308013,0.04952829888679264,0.09554099807499045,0.07028649535633903,0.09261570032269906,0.025254502718651414,11,17
1970-1986,Austria,11,5,1,5,12,14,8,0,1,3,0,1,0.9014222638381041,0.03566286410761406,0.6733505162249968,0.0495282908867949,0.0994823708646984,0.09491305672740828,-0.22807174761310733,0.004569314137290115,42,27
1970-1986,Belgium,15,6,2,7,19,25,14,0,2,19,1,3,0.9727974400375023,0.03236782225761198,1.1435642835098756,0.04952830707726707,0.1089200414169434,0.16933030962209555,0.17076684347237325,-0.06041026820515215,4,33
1970-1986,Brazil,30,21,5,4,60,21,22,1,3,27,1,0,0.8370078989419191,0.04119366383705423,0.9321631906504273,0.049528292077274584,0.10087631454089462,0.018680884586923532,0.09515529170850823,0.08219542995397108,9,1
1970-1986,Bulgaria,10,0,5,5,9,20,6,0,0,9,0,3,0.8629370228180554,0.036594185432755964,0.9597722178501586,0.04952829188679447,0.08416598611667897,0.2198048952233337,0.09683519503210325,-0.13563890910665474,8,41
1970-1986,Cameroon,3,0,3,0,1,1,4,0,0,2,0,0,1.0504737414892429,0.04478008200963551,0.9424954650407531,0.04952829888679264,0.09554099807499045,0.07028649535633903,-0.10797827644848979,0.025254502718651414,29,17
1970-1986,Canada,3,0,0,3,0,5,3,1,0,0,0,0,1.0040601855288627,0.07673635546859654,0.819788847260657,0.04952829888679264,0.09554099807499045,0.07028649535633903,-0.18427133826820563,0.025254502718651414,39,17
1970-1986,Chile,6,0,2,4,4,10,9,1,1,4,1,0,1.1257862868225434,0.07002330392264099,0.8996183882486833,0.049528316077266925,0.10856015741837173,0.05377933403439187,-0.2261678985738601,0.05478082338397986,41,8
1970-1986,Czechoslovakia,6,0,2,4,4,11,4,1,2,3,0,2,0.9220823756608038,0.07002330392264099,0.8478023378038481,0.04952829588679318,0.1268101980532489,0.21034958496011164,-0.0742800378569557,-0.08353938690686274,28,39
1970-1986,Denmark,4,3,0,1,10,6,5,1,2,8,1,3,1.048234984344138,0.07436008428088518,1.234853000789783,0.04952831807726733,0.131614124285933,0.34221547288291304,0.18661801644564502,-0.21060134859698004,3,43
1970-1986,East Germany,6,2,2,2,5,5,10,0,0,6,0,0,1.1665270690548915,0.040862629885057844,1.0032504891383538,0.04952829588679318,0.09031011678349456,0.05377933403439187,-0.16327657991653766,0.03653078274910269,36,13
1970-1986,El Salvador,6,0,0,6,1,22,9,0,0,5,0,2,1.1257862868225434,0.040862629885057844,0.9514344386935185,0.04952829588679318,0.09031011678349456,0.21034958496011164,-0.17435184812902493,-0.12003946817661708,37,40
1970-1986,England,14,7,3,4,17,8,13,1,1,10,0,0,0.9719616065474979,0.05677785884742715,0.8557726291478293,0.04952828788679641,0.0947296043837391,0.033068906241874384,-0.1161889773996686,0.06166069814186472,31,4
1970-1986,France,17,9,2,6,33,23,15,0,2,16,1,2,0.946195007823044,0.03093855090542641,0.9690660595184585,0.04952830507726755,0.1056091200064119,0.11302212304816414,0.02287105169541448,-0.007413003041752242,17,31
1970-1986,Haiti,3,0,0,3,2,14,3,0,0,2,0,0,1.0040601855288627,0.04478008200963551,0.9424954650407531,0.04952829888679264,0.09554099807499045,0.07028649535633903,-0.06156472048810957,0.025254502718651414,26,17
1970-1986,Honduras,3,0,2,1,2,3,1,1,0,1,0,2,0.9112330736081022,0.07673635546859654,0.8811421561507051,0.04952829888679264,0.09554099807499045,0.27491480495187787,-0.030090917457397115,-0.17937380687688742,20,42
1970-1986,Hungary,9,2,1,6,17,23,6,2,1,8,1,1,0.8942647979513303,0.09120516564267468,0.957968203722175,0.04952831307726661,0.10292500106313097,0.10694730899053413,0.06370340577084466,-0.004022307927403157,14,29
1970-1986,Iran,3,0,1,2,2,8,0,0,0,0,0,4,0.864819517647722,0.04478008200963551,0.819788847260657,0.04952829888679264,0.09554099807499045,0.47954311454741666,-0.045030670387064986,-0.3840021164724262,23,44
1970-1986,Iraq,3,0,0,3,1,4,9,1,0,2,0,1,1.2825415212911437,0.07673635546859654,0.9424954650407531,0.04952829888679264,0.09554099807499045,0.17260065015410844,-0.34004605625039064,-0.077059652079118,43,36
1970-1986,Israel,3,0,2,1,1,3,4,0,0,2,0,0,1.0504737414892429,0.04478008200963551,0.9424954650407531,0.04952829888679264,0.09554099807499045,0.07028649535633903,-0.10797827644848979,0.025254502718651414,29,17
1970-1986,Italy,27,13,9,5,41,30,34,0,1,37,1,1,1.1556133845186034,0.025343143688878474,1.2497015180369073,0.049528295077272355,0.07848190164266809,0.049948970170291505,0.09408813351830392,0.028532931472376587,10,15
1970-1986,Kuwait,3,0,1,2,2,6,3,0,0,2,0,1,1.0040601855288627,0.04478008200963551,0.9424954650407531,0.04952829888679264,0.09554099807499045,0.17260065015410844,-0.06156472048810957,-0.077059652079118,26,36
1970-1986,Mexico,12,5,2,5,14,18,15,1,2,22,1,0,1.101078245976103,0.059596124891462744,1.397751517435134,0.04952831007726666,0.11429488074546935,0.03659178102410333,0.296673271459031,0.07770309972136602,2,3
1970-1986,Morocco,7,1,3,3,5,8,5,0,0,3,1,0,0.9251325347584958,0.03970481083847323,0.8060366995210756,0.04952831507726678,0.08869149342452896,0.049874873319157395,-0.11909583523742018,0.03881662010537157,32,12
1970-1986,Netherlands,14,8,3,3,30,13,19,1,7,21,2,2,1.1563192900500765,0.05677785884742715,1.2587172101539341,0.04952832826773738,0.1902795282476027,0.12934393532308788,0.10239792010385762,0.06093559292451481,7,6
1970-1986,New Zealand,3,0,0,3,2,12,0,0,0,0,0,0,0.864819517647722,0.04478008200963551,0.819788847260657,0.04952829888679264,0.09554099807499045,0.07028649535633903,-0.045030670387064986,0.025254502718651414,23,17
1970-1986,Northern Ireland,8,1,4,3,7,13,9,1,0,5,0,0,1.040966692187469,0.0661645010279691,0.8620938426188756,0.049528293886793744,0.08712986946692858,0.04649897746491996,-0.1788728495685934,0.04063089200200862,38,11
1970-1986,Paraguay,4,1,2,1,4,6,5,0,0,7,0,0,1.048234984344138,0.04339339094236955,1.177046322866283,0.04952829788679278,0.093731317489378,0.0637626715128536,0.128811338522145,0.029968645976524405,5,14
1970-1986,Peru,13,4,3,6,18,27,5,0,2,5,0,1,0.7491705875557335,0.03393554609858114,0.6981916884509463,0.04952828888679586,0.11244528137339616,0.08531318548948678,-0.050978899104787256,0.02713209588390937,25,16
1970-1986,Poland,24,13,5,6,34,23,23,0,1,22,0,2,0.9785518311029002,0.026797062565557077,0.9480611642487105,0.049528277886804084,0.08171629480527129,0.0873134234256595,-0.030490666854189774,-0.005597128620388206,22,30
