official,matches,wins,draws,losses,roles,years,others_matches,win_pct,others_win_pct,expected_win_pct,delta_vs_expected,scope
Erik Fredriksson,1,1,0,0,referee,1990,6,100.0,17,63.0,37.0,referee
Eugen Braun,1,0,0,1,referee,1934,0,0.0,-1,0.0,0.0,referee
Frank De Bleeckere,2,2,0,0,referee,2006/2010,10,100.0,40,82.0,18.0,referee
François Letexier,1,1,0,0,referee,2026,2,100.0,0,63.0,37.0,referee
Gilberto de Almeida Rêgo,1,1,0,0,referee,1930,4,100.0,50,67.0,33.0,referee
Gilles Veissière,1,1,0,0,referee,2002,2,100.0,50,100.0,0.0,referee
Ismail Elfath,1,1,0,0,referee,2026,12,100.0,42,40.0,60.0,referee
István Kovács,1,1,0,0,referee,2026,2,100.0,50,63.0,37.0,referee
Jack Taylor,1,0,1,0,referee,1974,6,0.0,33,63.0,-63.0,referee
Jan Keizer,1,0,1,0,referee,1986,2,0.0,50,25.0,-25.0,referee
Jean Dubach,1,1,0,0,referee,1978,0,100.0,-1,67.0,33.0,referee
Joaquim Campos,1,1,0,0,referee,1966,2,100.0,0,100.0,0.0,referee
Joel Aguilar,1,1,0,0,referee,2014,4,100.0,25,63.0,37.0,referee
John Langenus,3,2,0,1,referee,1930,8,67.0,38,75.0,-8.0,referee
Jonas Eriksson,1,1,0,0,referee,2014,4,100.0,50,100.0,0.0,referee
João Pinheiro,1,1,0,0,referee,2026,4,100.0,50,100.0,0.0,referee
Joël Quiniou,1,1,0,0,referee,1990,14,100.0,43,0.0,100.0,referee
Juan Garay Gardeazábal,1,1,0,0,referee,1962,12,100.0,50,50.0,50.0,referee
Kim Milton Nielsen,1,1,0,0,referee,1998,8,100.0,25,40.0,60.0,referee
Konstantin Zečević,1,0,1,0,referee,1966,0,0.0,-1,33.0,-33.0,referee
Kurt Röthlisberger,1,1,0,0,referee,1990,8,100.0,50,63.0,37.0,referee
Károly Palotai,1,0,1,0,referee,1978,6,0.0,50,33.0,-33.0,referee
Luigi Agnolin,1,1,0,0,referee,1986,6,100.0,50,0.0,100.0,referee
Luis Barrancos,1,1,0,0,referee,1982,0,100.0,-1,63.0,37.0,referee
Luis Medina Cantalejo,1,0,1,0,referee,2006,6,0.0,50,60.0,-60.0,referee
Mario Rubio Vázquez,1,0,0,1,referee,1982,2,0.0,50,33.0,-33.0,referee
Mario van der Ende,1,1,0,0,referee,1998,8,100.0,50,63.0,37.0,referee
Massimo Busacca,1,1,0,0,referee,2006,6,100.0,33,100.0,0.0,referee
Michel Vautrot,2,1,0,1,referee,1990,6,50.0,17,32.0,18.0,referee
Milorad Mažić,1,1,0,0,referee,2014,8,100.0,50,63.0,37.0,referee
Neji Jouini,1,0,0,1,referee,1994,4,0.0,50,100.0,-100.0,referee
Nicola Rizzoli,3,2,0,1,referee,2014,2,67.0,50,50.0,17.0,referee
Nicolae Rainea,1,0,0,1,referee,1982,8,0.0,38,25.0,-25.0,referee
Nikolay Latyshev,1,0,0,1,referee,1962,10,0.0,50,60.0,-60.0,referee
Pablo Sánchez Ibáñez,1,1,0,0,referee,1974,0,100.0,-1,63.0,37.0,referee
Pavel Kazakov,1,0,1,0,referee,1974,2,0.0,50,25.0,-25.0,referee
Pierluigi Collina,1,0,0,1,referee,2002,8,0.0,38,60.0,-60.0,referee
Pierluigi Pairetto,1,0,0,1,referee,1994,0,0.0,-1,0.0,0.0,referee
Ravshan Irmatov,3,1,0,2,referee,2010/2018,16,33.0,31,67.0,-34.0,referee
Reginald Leafe,1,0,0,1,referee,1958,6,0.0,50,33.0,-33.0,referee
Robert Wurtz,1,1,0,0,referee,1978,2,100.0,50,63.0,37.0,referee
Roberto Rosetti,2,2,0,0,referee,2006/2010,8,100.0,38,82.0,18.0,referee
Romualdo Arppi Filho,1,1,0,0,referee,1986,4,100.0,25,0.0,100.0,referee
Rudolf Kreitlein,1,0,0,1,referee,1966,2,0.0,50,60.0,-60.0,referee
Rune Pedersen,1,1,0,0,referee,1998,2,100.0,50,63.0,37.0,referee
Said Belqola,1,1,0,0,referee,1998,4,100.0,50,50.0,50.0,referee
Sergio Gonella,1,1,0,0,referee,1978,2,100.0,0,40.0,60.0,referee
Slavko Vinčić,1,0,0,1,referee,2022,8,0.0,38,63.0,-63.0,referee
Sten Ahlner,1,1,0,0,referee,1958,0,100.0,-1,63.0,37.0,referee
Szymon Marciniak,4,3,1,0,referee,2018/2022/2026,6,75.0,33,64.0,11.0,referee
Ulf Eriksson,1,1,0,0,referee,1978,2,100.0,50,50.0,50.0,referee
Ulises Saucedo,1,1,0,0,referee,1930,0,100.0,-1,100.0,0.0,referee
Victoriano Sánchez Arminio,1,1,0,0,referee,1986,0,100.0,-1,100.0,0.0,referee
Vital Loraux,1,0,0,1,referee,1974,4,0.0,50,33.0,-33.0,referee
Vojtěch Christov,1,0,0,1,referee,1982,2,0.0,0,100.0,-100.0,referee
Wolfgang Stark,1,1,0,0,referee,2010,4,100.0,50,100.0,0.0,referee
Ľuboš Micheľ,1,0,0,1,referee,2006,8,0.0,38,0.0,0.0,referee
