official,matches,wins,draws,losses,roles,years,others_matches,win_pct,others_win_pct,expected_win_pct,delta_vs_expected,scope
Corey Parker,1,1,0,0,assistant1,2026,16,100.0,44,40.0,60.0,crew
Corey Rockwell,1,0,0,1,avar2,2018,4,0.0,50,100.0,-100.0,crew
Cristiano Copelli,1,1,0,0,assistant1,2006,6,100.0,50,63.0,37.0,crew
Cyril Mugnier,1,1,0,0,assistant1,2026,4,100.0,25,63.0,37.0,crew
César Guerrero Orosco,1,1,0,0,assistant1,1978,4,100.0,25,67.0,33.0,crew
Cüneyt Çakır,2,2,0,0,referee,2014/2018,10,100.0,30,70.0,30.0,crew
Dahane Beida,1,1,0,0,fourth_official,2026,6,100.0,33,63.0,37.0,crew
Dalibor Đurđević,1,1,0,0,assistant2,2014,8,100.0,50,63.0,37.0,crew
Daniel Wärnmark,1,1,0,0,assistant2,2014,4,100.0,50,100.0,0.0,crew
Daniele Orsato,3,3,0,0,referee/var,2018/2022,30,100.0,47,83.0,17.0,crew
Danny Makkelie,2,1,0,1,avar3/referee,2018/2022,44,50.0,45,75.0,-25.0,crew
Dennis Higler,1,1,0,0,avar1,2026,20,100.0,40,63.0,37.0,crew
Dimitar Rumenchev,1,1,0,0,referee,1966,8,100.0,38,63.0,37.0,crew
Djamel Haimoudi,1,1,0,0,fourth_official,2014,8,100.0,38,63.0,37.0,crew
Domenico Ramicone,1,0,0,1,assistant1,1994,4,0.0,50,0.0,0.0,crew
Drew Fischer,3,3,0,0,avar1/fourth_official/referee,2022/2026,28,100.0,46,68.0,32.0,crew
Eddie Foley,1,1,0,0,assistant2,1998,4,100.0,0,63.0,37.0,crew
Edgardo Codesal,1,0,0,1,referee,1990,14,0.0,29,33.0,-33.0,crew
El Jilali Rharib,1,0,0,1,assistant2,1994,6,0.0,50,100.0,-100.0,crew
Elias Salinas Rostran,1,0,0,1,assistant2,1998,6,0.0,33,60.0,-60.0,crew
Epifanio González,1,0,0,1,fourth_official,1998,10,0.0,30,60.0,-60.0,crew
Erich Linemayr,2,1,1,0,assistant1/assistant2,1978,12,50.0,42,37.0,13.0,crew
Erik Fredriksson,2,2,0,0,assistant1/referee,1986/1990,18,100.0,22,32.0,68.0,crew
Espen Eskås,1,1,0,0,fourth_official,2026,6,100.0,33,63.0,37.0,crew
Essam Abd El Fatah,1,1,0,0,fourth_official,2006,8,100.0,38,63.0,37.0,crew
Eugen Braun,1,0,0,1,referee,1934,0,0.0,-1,0.0,0.0,crew
Fedayi San,1,1,0,0,avar1,2026,14,100.0,43,63.0,37.0,crew
Felix Zwayer,1,0,0,1,var,2018,36,0.0,44,100.0,-100.0,crew
Ferdinand Biwersi,1,1,0,0,assistant1,1978,8,100.0,50,63.0,37.0,crew
