era,metric,team,matches,count,rate,field_rate,direction,favorable,p,signif_fdr10
1990-2018,dismissals_drawn,Greece,10,2,0.2,0.13217213114754098,high,True,0.3814357767712077,False
1990-2018,dismissals_drawn,Honduras,6,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Iceland,3,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Iran,12,0,0.0,0.13217213114754098,low,False,0.4151080142123908,False
1990-2018,dismissals_drawn,Italy,36,6,0.16666666666666666,0.13217213114754098,high,True,0.4824326577126472,False
1990-2018,dismissals_drawn,Ivory Coast,9,2,0.2222222222222222,0.13217213114754098,high,True,0.333908598791073,False
1990-2018,dismissals_drawn,Jamaica,3,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Japan,21,2,0.09523809523809523,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Mexico,28,6,0.21428571428571427,0.13217213114754098,high,True,0.1907018285214962,False
1990-2018,dismissals_drawn,Morocco,9,1,0.1111111111111111,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Netherlands,34,6,0.17647058823529413,0.13217213114754098,high,True,0.46376609403321983,False
1990-2018,dismissals_drawn,New Zealand,3,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Nigeria,21,1,0.047619047619047616,0.13217213114754098,low,False,0.5340197274946972,False
1990-2018,dismissals_drawn,North Korea,3,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Norway,7,1,0.14285714285714285,0.13217213114754098,high,True,0.604869312108502,False
1990-2018,dismissals_drawn,Panama,3,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Paraguay,16,2,0.125,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Peru,3,0,0.0,0.13217213114754098,low,False,1.0,False
1990-2018,dismissals_drawn,Poland,9,0,0.0,0.13217213114754098,low,False,0.636592050374265,False
