year,team,slot_assumption,round_label,unweighted_round_elo,weighted_round_elo,n_possible_opponents
1986,Northern Ireland,runner_up,F,1824.83,1910.51,23
1986,Paraguay,winner,R16,1803.75,1818.77,4
1986,Paraguay,winner,QF,1847.5,1923.25,8
1986,Paraguay,winner,SF,1826.12,1902.73,16
1986,Paraguay,winner,F,1826.57,1899.47,23
1986,Paraguay,runner_up,R16,1810.5,1831.56,4
1986,Paraguay,runner_up,QF,1844.12,1876.72,8
1986,Paraguay,runner_up,SF,1836.93,1915.31,15
1986,Paraguay,runner_up,F,1826.57,1907.49,23
1986,Poland,winner,R16,1884.5,1888.33,4
1986,Poland,winner,QF,1785.25,1837.34,8
1986,Poland,winner,SF,1827.53,1910.44,15
1986,Poland,winner,F,1826.87,1919.18,23
1986,Poland,runner_up,R16,1766.75,1811.57,4
1986,Poland,runner_up,QF,1844.12,1876.72,8
1986,Poland,runner_up,SF,1835.38,1915.95,16
1986,Poland,runner_up,F,1826.87,1915.96,23
1986,Portugal,winner,R16,1884.5,1888.33,4
1986,Portugal,winner,QF,1785.25,1837.34,8
1986,Portugal,winner,SF,1827.47,1910.38,15
1986,Portugal,winner,F,1826.83,1919.21,23
1986,Portugal,runner_up,R16,1766.75,1811.57,4
1986,Portugal,runner_up,QF,1844.12,1876.72,8
1986,Portugal,runner_up,SF,1835.38,1915.95,16
1986,Portugal,runner_up,F,1826.83,1915.97,23
1986,Scotland,winner,R16,1822.0,1878.78,4
1986,Scotland,winner,QF,1817.5,1913.1,8
1986,Scotland,winner,SF,1812.6,1871.41,15
1986,Scotland,winner,F,1823.91,1910.45,23
1986,Scotland,runner_up,R16,1810.5,1927.15,4
1986,Scotland,runner_up,QF,1785.25,1837.34,8
1986,Scotland,runner_up,SF,1826.12,1902.73,16
1986,Scotland,runner_up,F,1823.91,1905.76,23
1986,South Korea,winner,R16,1884.5,1880.3,4
1986,South Korea,winner,QF,1788.62,1838.23,8
1986,South Korea,winner,SF,1835.38,1915.95,16
1986,South Korea,winner,F,1835.17,1909.25,23
1986,South Korea,runner_up,R16,1868.25,1932.54,4
1986,South Korea,runner_up,QF,1816.25,1865.84,8
1986,South Korea,runner_up,SF,1829.87,1897.02,15
1986,South Korea,runner_up,F,1835.17,1903.26,23
1986,Soviet Union,winner,R16,1766.75,1777.13,4
1986,Soviet Union,winner,QF,1853.25,1895.68,8
1986,Soviet Union,winner,SF,1816.38,1867.65,16
1986,Soviet Union,winner,F,1821.0,1914.76,23
1986,Soviet Union,runner_up,R16,1803.75,1853.16,4
1986,Soviet Union,runner_up,QF,1816.25,1865.84,8
1986,Soviet Union,runner_up,SF,1816.38,1894.99,16
1986,Soviet Union,runner_up,F,1821.0,1908.9,23
1986,Spain,winner,R16,1810.5,1780.27,4
1986,Spain,winner,QF,1836.0,1911.0,8
1986,Spain,winner,SF,1816.38,1894.99,16
1986,Spain,winner,F,1822.65,1903.29,23
1986,Spain,runner_up,R16,1884.5,1898.22,4
1986,Spain,runner_up,QF,1817.5,1913.1,8
1986,Spain,runner_up,SF,1816.38,1867.65,16
1986,Spain,runner_up,F,1822.65,1909.02,23
1986,Uruguay,winner,R16,1822.0,1878.78,4
1986,Uruguay,winner,QF,1817.5,1913.1,8
1986,Uruguay,winner,SF,1815.33,1874.34,15
1986,Uruguay,winner,F,1825.7,1910.45,23
1986,Uruguay,runner_up,R16,1810.5,1927.15,4
1986,Uruguay,runner_up,QF,1785.25,1837.34,8
1986,Uruguay,runner_up,SF,1826.12,1902.73,16
1986,Uruguay,runner_up,F,1825.7,1906.64,23
1986,West Germany,winner,R16,1822.0,1878.78,4
1986,West Germany,winner,QF,1817.5,1913.1,8
1986,West Germany,winner,SF,1808.13,1862.32,15
1986,West Germany,winner,F,1821.0,1906.71,23
1986,West Germany,runner_up,R16,1810.5,1927.15,4
1986,West Germany,runner_up,QF,1785.25,1837.34,8
1986,West Germany,runner_up,SF,1826.12,1902.73,16
1986,West Germany,runner_up,F,1821.0,1896.92,23
1990,Argentina,winner,R16,1785.75,1823.28,4
1990,Argentina,winner,QF,1863.12,1951.75,8
1990,Argentina,winner,SF,1818.94,1943.81,16
1990,Argentina,winner,F,1825.22,1948.97,23
1990,Argentina,runner_up,R16,1873.75,1946.98,4
1990,Argentina,runner_up,QF,1822.62,1921.07,8
1990,Argentina,runner_up,SF,1820.93,1935.07,15
1990,Argentina,runner_up,F,1825.22,1955.76,23
1990,Austria,winner,R16,1852.5,1845.79,4
1990,Austria,winner,QF,1844.5,1929.94,8
1990,Austria,winner,SF,1819.25,1932.07,16
1990,Austria,winner,F,1826.48,1959.81,23
1990,Austria,runner_up,R16,1823.5,1915.76,4
1990,Austria,runner_up,QF,1829.75,1940.67,8
1990,Austria,runner_up,SF,1831.81,1939.05,16
1990,Austria,runner_up,F,1826.48,1950.85,23
1990,Belgium,winner,R16,1785.75,1894.42,4
1990,Belgium,winner,QF,1819.38,1930.96,8
1990,Belgium,winner,SF,1832.87,1942.28,15
1990,Belgium,winner,F,1823.04,1955.24,23
1990,Belgium,runner_up,R16,1873.75,1982.96,4
1990,Belgium,runner_up,QF,1800.5,1888.94,8
1990,Belgium,runner_up,SF,1818.94,1943.81,16
1990,Belgium,runner_up,F,1823.04,1949.1,23
1990,Brazil,winner,R16,1815.25,1803.42,4
1990,Brazil,winner,QF,1819.12,1902.02,8
1990,Brazil,winner,SF,1833.56,1940.51,16
1990,Brazil,winner,F,1816.57,1951.3,23
1990,Brazil,runner_up,R16,1792.75,1835.77,4
1990,Brazil,runner_up,QF,1829.75,1940.67,8
1990,Brazil,runner_up,SF,1831.81,1939.05,16
1990,Brazil,runner_up,F,1816.57,1941.77,23
1990,Cameroon,winner,R16,1785.75,1823.28,4
1990,Cameroon,winner,QF,1863.12,1951.75,8
1990,Cameroon,winner,SF,1818.94,1943.81,16
1990,Cameroon,winner,F,1832.3,1947.97,23
1990,Cameroon,runner_up,R16,1873.75,1946.98,4
1990,Cameroon,runner_up,QF,1822.62,1921.07,8
1990,Cameroon,runner_up,SF,1831.8,1932.33,15
1990,Cameroon,runner_up,F,1832.3,1955.51,23
1990,Colombia,winner,R16,1873.75,1890.33,4
1990,Colombia,winner,QF,1808.12,1909.02,8
1990,Colombia,winner,SF,1833.87,1950.13,15
1990,Colombia,winner,F,1824.91,1953.5,23
1990,Colombia,runner_up,R16,1852.5,1887.28,4
1990,Colombia,runner_up,QF,1819.38,1930.96,8
1990,Colombia,runner_up,SF,1833.56,1940.51,16
1990,Colombia,runner_up,F,1824.91,1959.74,23
1990,Costa Rica,winner,R16,1815.25,1803.42,4
1990,Costa Rica,winner,QF,1819.12,1902.02,8
1990,Costa Rica,winner,SF,1833.56,1940.51,16
1990,Costa Rica,winner,F,1833.17,1957.17,23
1990,Costa Rica,runner_up,R16,1792.75,1835.77,4
1990,Costa Rica,runner_up,QF,1829.75,1940.67,8
1990,Costa Rica,runner_up,SF,1831.81,1939.05,16
1990,Costa Rica,runner_up,F,1833.17,1949.29,23
1990,Czechoslovakia,winner,R16,1852.5,1845.79,4
1990,Czechoslovakia,winner,QF,1844.5,1929.94,8
