tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,fourth_official,fourth_official_country,source_url
2002,2002-06-30,Final,Germany,Brazil,Pierluigi Collina,Italy,Leif Lindberg,Sweden,Philip Sharp,England,Hugh Dallas,Scotland,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_final; https://www.rsssf.org/tables/2002full.html
2006,2006-06-09,Group A,Germany,Costa Rica,Horacio Elizondo,Argentina,Darío García,Argentina,Rodolfo Otero,Argentina,Carlos Chandía,Chile,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2006full.html
2006,2006-06-09,Group A,Poland,Ecuador,Toru Kamikawa,Japan,Yoshikazu Hiroshima,Japan,Kim Dae-young,South Korea,Ľuboš Micheľ,Slovakia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2006full.html
2006,2006-06-10,Group B,England,Paraguay,Marco Rodríguez,Mexico,José Luis Camargo,Mexico,Leonel Leal,Costa Rica,Coffi Codjia,Benin,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2006full.html
2006,2006-06-10,Group B,Trinidad and Tobago,Sweden,Shamsul Maidin,Singapore,Prachya Permpanich,Thailand,Eisa Gholoum,United Arab Emirates,Óscar Ruiz,Colombia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2006full.html
2006,2006-06-10,Group C,Argentina,Ivory Coast,Frank De Bleeckere,Belgium,Peter Hermans,Belgium,Walter Vromans,Belgium,Éric Poulat,France,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2006full.html
2006,2006-06-11,Group C,Serbia and Montenegro,Netherlands,Markus Merk,Germany,Christian Schräer,Germany,Jan-Hendrik Salver,Germany,Mohamed Guezzaz,Morocco,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2006full.html
2006,2006-06-11,Group D,Angola,Portugal,Jorge Larrionda,Uruguay,Wálter Rial,Uruguay,Pablo Fandino,Uruguay,Kevin Stott,United States,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2006full.html
2006,2006-06-11,Group D,Mexico,Iran,Roberto Rosetti,Italy,Cristiano Copelli,Italy,Alessandro Stagnoli,Italy,Jerome Damon,South Africa,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2006full.html
2006,2006-06-12,Group E,Italy,Ghana,Carlos Simon,Brazil,Aristeu Tavares,Brazil,Edmílson Corona,Brazil,Khalil Al Ghamdi,Saudi Arabia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2006full.html
2006,2006-06-12,Group E,United States,Czech Republic,Carlos Amarilla,Paraguay,Amelio Andino,Paraguay,Manuel Bernal,Paraguay,Carlos Chandía,Chile,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2006full.html
2006,2006-06-12,Group F,Australia,Japan,Essam Abd El Fatah,Egypt,Dramane Danté,Mali,Mamadou N'Doye,Senegal,Éric Poulat,France,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2006full.html
2006,2006-06-13,Group F,Brazil,Croatia,Benito Archundia,Mexico,José Ramírez,Mexico,Héctor Vergara,Canada,Mohamed Guezzaz,Morocco,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2006full.html
2006,2006-06-13,Group G,France,Switzerland,Valentin Ivanov,Russia,Nikolay Golubev,Russia,Evgeni Volnin,Russia,Kevin Stott,United States,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2006full.html
2006,2006-06-13,Group G,South Korea,Togo,Graham Poll,England,Philip Sharp,England,Glenn Turner,England,Jerome Damon,South Africa,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2006full.html
2006,2006-06-14,Group A,Germany,Poland,Luis Medina Cantalejo,Spain,Victoriano Giráldez Carrasco,Spain,Pedro Medina Hernández,Spain,Khalil Al Ghamdi,Saudi Arabia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2006full.html
2006,2006-06-14,Group H,Spain,Ukraine,Massimo Busacca,Switzerland,Francesco Buragina,Switzerland,Matthias Arnet,Switzerland,Roberto Rosetti,Italy,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2006full.html
2006,2006-06-14,Group H,Tunisia,Saudi Arabia,Mark Shield,Australia,Nathan Gibson,Australia,Ben Wilson,Australia,Carlos Chandía,Chile,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2006full.html
2006,2006-06-15,Group A,Ecuador,Costa Rica,Coffi Codjia,Benin,Celestin Ntagungira,Rwanda,Aboudou Aderodjou,Benin,Mohamed Guezzaz,Morocco,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2006full.html
2006,2006-06-15,Group B,England,Trinidad and Tobago,Toru Kamikawa,Japan,Yoshikazu Hiroshima,Japan,Kim Dae-young,South Korea,Kevin Stott,United States,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2006full.html
2006,2006-06-15,Group B,Sweden,Paraguay,Ľuboš Micheľ,Slovakia,Roman Slysko,Slovakia,Martin Balko,Slovakia,Jerome Damon,South Africa,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2006full.html
2006,2006-06-16,Group C,Argentina,Serbia and Montenegro,Roberto Rosetti,Italy,Cristiano Copelli,Italy,Alessandro Stagnoli,Italy,Essam Abd El Fatah,Egypt,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2006full.html
2006,2006-06-16,Group C,Netherlands,Ivory Coast,Óscar Ruiz,Colombia,José Navia,Colombia,Fernando Tamayo,Ecuador,Marco Rodríguez,Mexico,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2006full.html
2006,2006-06-16,Group D,Mexico,Angola,Shamsul Maidin,Singapore,Prachya Permpanich,Thailand,Eisa Gholoum,United Arab Emirates,Carlos Chandía,Chile,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2006full.html
2006,2006-06-17,Group D,Portugal,Iran,Éric Poulat,France,Lionel Dagorne,France,Vincent Texier,France,Mohamed Guezzaz,Morocco,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2006full.html
2006,2006-06-17,Group E,Czech Republic,Ghana,Horacio Elizondo,Argentina,Darío García,Argentina,Rodolfo Otero,Argentina,Jerome Damon,South Africa,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2006full.html
2006,2006-06-17,Group E,Italy,United States,Jorge Larrionda,Uruguay,Wálter Rial,Uruguay,Pablo Fandino,Uruguay,Khalil Al Ghamdi,Saudi Arabia,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2006full.html
2006,2006-06-18,Group F,Brazil,Australia,Markus Merk,Germany,Christian Schräer,Germany,Jan-Hendrik Salver,Germany,Marco Rodríguez,Mexico,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2006full.html
2006,2006-06-18,Group F,Japan,Croatia,Frank De Bleeckere,Belgium,Peter Hermans,Belgium,Walter Vromans,Belgium,Kevin Stott,United States,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2006full.html
2006,2006-06-18,Group G,France,South Korea,Benito Archundia,Mexico,José Ramírez,Mexico,Héctor Vergara,Canada,Essam Abd El Fatah,Egypt,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2006full.html
