tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,fourth_official,fourth_official_country,source_url
2010,2010-06-15,Group G,Brazil,North Korea,Viktor Kassai,Hungary,Gábor Erős,Hungary,Tibor Vámos,Hungary,Subkhiddin Mohd Salleh,Malaysia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2010full.html
2010,2010-06-15,Group G,Ivory Coast,Portugal,Jorge Larrionda,Uruguay,Pablo Fandino,Uruguay,Mauricio Espinosa,Uruguay,Martín Vázquez,Uruguay,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2010full.html
2010,2010-06-16,Group A,South Africa,Uruguay,Massimo Busacca,Switzerland,Matthias Arnet,Switzerland,Francesco Buragina,Switzerland,Wolfgang Stark,Germany,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2010full.html
2010,2010-06-16,Group H,Honduras,Chile,Eddy Maillet,Seychelles,Evarist Menkouande,Cameroon,Bechir Hassani,Tunisia,Yuichi Nishimura,Japan,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2010full.html
2010,2010-06-16,Group H,Spain,Switzerland,Howard Webb,England,Darren Cann,England,Michael Mullarkey,England,Martin Hansson,Sweden,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2010full.html
2010,2010-06-17,Group A,France,Mexico,Khalil Al Ghamdi,Saudi Arabia,Hassan Kamranifar,Iran,Saleh Al Marzouqi,United Arab Emirates,Peter O'Leary,New Zealand,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2010full.html
2010,2010-06-17,Group B,Argentina,South Korea,Frank De Bleeckere,Belgium,Peter Hermans,Belgium,Walter Vromans,Belgium,Jerome Damon,South Africa,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2010full.html
2010,2010-06-17,Group B,Greece,Nigeria,Óscar Ruiz,Colombia,Abraham González,Colombia,Humberto Clavijo,Colombia,Joel Aguilar,El Salvador,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2010full.html
2010,2010-06-18,Group C,England,Algeria,Ravshan Irmatov,Uzbekistan,Rafael Ilyasov,Uzbekistan,Bakhadyr Kochkarov,Kyrgyzstan,Michael Hester,New Zealand,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2010full.html
2010,2010-06-18,Group C,Slovenia,United States,Koman Coulibaly,Mali,Redouane Achik,Morocco,Inácio Cândido,Angola,Subkhiddin Mohd Salleh,Malaysia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2010full.html
2010,2010-06-18,Group D,Germany,Serbia,Alberto Undiano Mallenco,Spain,Fermín Martínez Ibáñez,Spain,Juan Carlos Yuste Jiménez,Spain,Martín Vázquez,Uruguay,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2010full.html
2010,2010-06-19,Group D,Ghana,Australia,Roberto Rosetti,Italy,Paolo Calcagno,Italy,Stefano Ayroldi,Italy,Carlos Simon,Brazil,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2010full.html
2010,2010-06-19,Group E,Cameroon,Denmark,Jorge Larrionda,Uruguay,Pablo Fandino,Uruguay,Mauricio Espinosa,Uruguay,Peter O'Leary,New Zealand,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2010full.html
2010,2010-06-19,Group E,Netherlands,Japan,Héctor Baldassi,Argentina,Ricardo Casas,Argentina,Hernán Maidana,Argentina,Martin Hansson,Sweden,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2010full.html
2010,2010-06-20,Group F,Italy,New Zealand,Carlos Batres,Guatemala,Leonel Leal,Costa Rica,Carlos Pastrana,Honduras,Koman Coulibaly,Mali,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2010full.html
2010,2010-06-20,Group F,Slovakia,Paraguay,Eddy Maillet,Seychelles,Evarist Menkouande,Cameroon,Bechir Hassani,Tunisia,Joel Aguilar,El Salvador,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2010full.html
2010,2010-06-20,Group G,Brazil,Ivory Coast,Stéphane Lannoy,France,Eric Dansault,France,Laurent Ugo,France,Subkhiddin Mohd Salleh,Malaysia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2010full.html
2010,2010-06-21,Group G,Portugal,North Korea,Pablo Pozo,Chile,Patricio Basualto,Chile,Francisco Mondria,Chile,Jerome Damon,South Africa,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2010full.html
2010,2010-06-21,Group H,Chile,Switzerland,Khalil Al Ghamdi,Saudi Arabia,Hassan Kamranifar,Iran,Saleh Al Marzouqi,United Arab Emirates,Martín Vázquez,Uruguay,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2010full.html
2010,2010-06-21,Group H,Spain,Honduras,Yuichi Nishimura,Japan,Toru Sagara,Japan,Jeong Hae-sang,South Korea,Subkhiddin Mohd Salleh,Malaysia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2010full.html
2010,2010-06-22,Group A,France,South Africa,Óscar Ruiz,Colombia,Abraham González,Colombia,Humberto Clavijo,Colombia,Héctor Baldassi,Argentina,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2010full.html
2010,2010-06-22,Group A,Mexico,Uruguay,Viktor Kassai,Hungary,Gábor Erős,Hungary,Tibor Vámos,Hungary,Martin Hansson,Sweden,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/2010full.html
2010,2010-06-22,Group B,Greece,Argentina,Ravshan Irmatov,Uzbekistan,Rafael Ilyasov,Uzbekistan,Bakhadyr Kochkarov,Kyrgyzstan,Peter O'Leary,New Zealand,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2010full.html
2010,2010-06-22,Group B,Nigeria,South Korea,Olegário Benquerença,Portugal,José Cardinal,Portugal,Bertino Miranda,Portugal,Marco Rodríguez,Mexico,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/2010full.html
2010,2010-06-23,Group C,Slovenia,England,Wolfgang Stark,Germany,Jan-Hendrik Salver,Germany,Mike Pickel,Germany,Joel Aguilar,El Salvador,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2010full.html
2010,2010-06-23,Group C,United States,Algeria,Frank De Bleeckere,Belgium,Peter Hermans,Belgium,Walter Vromans,Belgium,Subkhiddin Mohd Salleh,Malaysia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/2010full.html
2010,2010-06-23,Group D,Australia,Serbia,Jorge Larrionda,Uruguay,Pablo Fandino,Uruguay,Mauricio Espinosa,Uruguay,Carlos Batres,Guatemala,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2010full.html
2010,2010-06-23,Group D,Ghana,Germany,Carlos Simon,Brazil,Altemir Hausmann,Brazil,Roberto Braatz,Brazil,Martín Vázquez,Uruguay,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/2010full.html
2010,2010-06-24,Group E,Cameroon,Netherlands,Pablo Pozo,Chile,Patricio Basualto,Chile,Francisco Mondria,Chile,Khalil Al Ghamdi,Saudi Arabia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2010full.html
2010,2010-06-24,Group E,Denmark,Japan,Jerome Damon,South Africa,Célestin Ntagungira,Rwanda,Enock Molefe,South Africa,Martin Hansson,Sweden,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/2010full.html
2010,2010-06-24,Group F,Paraguay,New Zealand,Yuichi Nishimura,Japan,Toru Sagara,Japan,Jeong Hae-sang,South Korea,Koman Coulibaly,Mali,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2010full.html
2010,2010-06-24,Group F,Slovakia,Italy,Howard Webb,England,Darren Cann,England,Michael Mullarkey,England,Stéphane Lannoy,France,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/2010full.html
2010,2010-06-25,Group G,North Korea,Ivory Coast,Alberto Undiano Mallenco,Spain,Fermín Martínez Ibáñez,Spain,Juan Carlos Yuste Jiménez,Spain,Massimo Busacca,Switzerland,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2010full.html
2010,2010-06-25,Group G,Portugal,Brazil,Benito Archundia,Mexico,Héctor Vergara,Canada,Marvin Torrentera,Mexico,Peter O'Leary,New Zealand,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_G; https://www.rsssf.org/tables/2010full.html
2010,2010-06-25,Group H,Chile,Spain,Marco Rodríguez,Mexico,José Luis Camargo,Mexico,Alberto Morín,Mexico,Subkhiddin Mohd Salleh,Malaysia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2010full.html
2010,2010-06-25,Group H,Switzerland,Honduras,Héctor Baldassi,Argentina,Ricardo Casas,Argentina,Hernán Maidana,Argentina,Olegário Benquerença,Portugal,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_Group_H; https://www.rsssf.org/tables/2010full.html
2010,2010-06-26,Round of 16,United States,Ghana,Viktor Kassai,Hungary,Gábor Erős,Hungary,Tibor Vámos,Hungary,Michael Hester,New Zealand,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-06-26,Round of 16,Uruguay,South Korea,Wolfgang Stark,Germany,Jan-Hendrik Salver,Germany,Mike Pickel,Germany,Joel Aguilar,El Salvador,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-06-27,Round of 16,Argentina,Mexico,Roberto Rosetti,Italy,Paolo Calcagno,Italy,Stefano Ayroldi,Italy,Jerome Damon,South Africa,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-06-27,Round of 16,Germany,England,Jorge Larrionda,Uruguay,Pablo Fandino,Uruguay,Mauricio Espinosa,Uruguay,Martín Vázquez,Uruguay,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-06-28,Round of 16,Brazil,Chile,Howard Webb,England,Darren Cann,England,Michael Mullarkey,England,Martin Hansson,Sweden,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-06-28,Round of 16,Netherlands,Slovakia,Alberto Undiano Mallenco,Spain,Fermín Martínez Ibáñez,Spain,Juan Carlos Yuste Jiménez,Spain,Stéphane Lannoy,France,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-06-29,Round of 16,Paraguay,Japan,Frank De Bleeckere,Belgium,Peter Hermans,Belgium,Walter Vromans,Belgium,Peter O'Leary,New Zealand,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-06-29,Round of 16,Spain,Portugal,Héctor Baldassi,Argentina,Ricardo Casas,Argentina,Hernán Maidana,Argentina,Carlos Batres,Guatemala,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-07-02,Quarter-finals,Netherlands,Brazil,Yuichi Nishimura,Japan,Toru Sagara,Japan,Jeong Hae-sang,South Korea,Khalil Al Ghamdi,Saudi Arabia,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-07-02,Quarter-finals,Uruguay,Ghana,Olegário Benquerença,Portugal,José Cardinal,Portugal,Bertino Miranda,Portugal,Alberto Undiano Mallenco,Spain,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-07-03,Quarter-finals,Argentina,Germany,Ravshan Irmatov,Uzbekistan,Rafael Ilyasov,Uzbekistan,Bakhadyr Kochkarov,Kyrgyzstan,Jerome Damon,South Africa,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-07-03,Quarter-finals,Paraguay,Spain,Carlos Batres,Guatemala,Leonel Leal,Costa Rica,Carlos Pastrana,Honduras,Benito Archundia,Mexico,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-07-06,Semi-finals,Uruguay,Netherlands,Ravshan Irmatov,Uzbekistan,Rafael Ilyasov,Uzbekistan,Bakhadyr Kochkarov,Kyrgyzstan,Yuichi Nishimura,Japan,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-07-07,Semi-finals,Germany,Spain,Viktor Kassai,Hungary,Gábor Erős,Hungary,Tibor Vámos,Hungary,Frank De Bleeckere,Belgium,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-07-10,Third place play-off,Uruguay,Germany,Benito Archundia,Mexico,Héctor Vergara,Canada,Marvin Torrentera,Mexico,Marco Rodríguez,Mexico,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/2010full.html
2010,2010-07-11,Final,Netherlands,Spain,Howard Webb,England,Darren Cann,England,Michael Mullarkey,England,Yuichi Nishimura,Japan,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_final; https://www.rsssf.org/tables/2010full.html
