tournament_year,official_name,country,confederation,role_pool,source_url
1930,Thomas Balvay,France,UEFA,referee (also served as linesman),https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,Henri Christophe,Belgium,UEFA,referee (also served as linesman),https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,Gilberto de Almeida Rêgo,Brazil,CONMEBOL,referee (also served as linesman),https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,John Langenus,Belgium,UEFA,referee (also served as linesman),https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,Domingo Lombardi,Uruguay,CONMEBOL,referee (also served as linesman),https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,José Macías,Argentina,CONMEBOL,referee (also served as linesman),https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,Francisco Mateucci,Uruguay,CONMEBOL,referee (also served as linesman),https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,Ulises Saucedo,Bolivia,CONMEBOL,referee (also served as linesman),https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,Aníbal Tejada,Uruguay,CONMEBOL,referee (also served as linesman),https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,Ricardo Vallarino,Uruguay,CONMEBOL,referee (also served as linesman),https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,Alberto Warnken,Chile,CONMEBOL,referee (also served as linesman),https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,Constantin Rădulescu,Romania,UEFA,linesman only,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup; https://www.rsssf.org/tables/30full.html
1930,Gaspar Vallejo,Mexico,CONCACAF,linesman only,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup; https://www.rsssf.org/tables/30full.html
1930,Gualberto Alonso,Uruguay,CONMEBOL,linesman only,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup; https://www.rsssf.org/tables/30full.html
1930,Martin Aphesteguy,Uruguay,CONMEBOL,linesman only,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup; https://www.rsssf.org/tables/30full.html
1934,Louis Baert,Belgium,UEFA,referee (also served as linesman),https://github.com/jfjelstul/worldcup
1934,Rinaldo Barlassina,Italy,UEFA,referee,https://github.com/jfjelstul/worldcup
1934,Alois Beranek,Austria,UEFA,referee (also served as linesman),https://github.com/jfjelstul/worldcup
1934,Alfred Birlem,Germany,UEFA,referee (also served as linesman),https://github.com/jfjelstul/worldcup
1934,Eugen Braun,Austria,UEFA,referee,https://github.com/jfjelstul/worldcup
1934,Albino Carraro,Italy,UEFA,referee (also served as linesman),https://github.com/jfjelstul/worldcup
1934,Ivan Eklind,Sweden,UEFA,referee,https://github.com/jfjelstul/worldcup
1934,John Langenus,Belgium,UEFA,referee,https://github.com/jfjelstul/worldcup
1934,Francesco Mattea,Italy,UEFA,referee,https://github.com/jfjelstul/worldcup
1934,René Mercet,Switzerland,UEFA,referee (also served as linesman),https://github.com/jfjelstul/worldcup
1934,Johannes van Moorsel,Netherlands,UEFA,referee (also served as linesman),https://github.com/jfjelstul/worldcup
