tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,fourth_official,fourth_official_country,var,var_country,avar1,avar2,avar3,source_url
2022,2022-12-01,Group F,Croatia,Belgium,Anthony Taylor,England,Gary Beswick,England,Adam Nunn,England,István Kovács,Romania,Marco Fritz,Germany,Tomasz Kwiatkowski,Rafael Foltyn,Benoit Millot,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_F
2022,2022-12-01,Group F,Canada,Morocco,Raphael Claus,Brazil,Rodrigo Figueiredo,Brazil,Danilo Simon Manis,Brazil,Yoshimi Yamashita,Japan,Julio Bascuñán,Chile,Juan Martínez Munuera,Roberto Díaz Pérez del Palomar,Leodan Gonzalez,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_F
2022,2022-12-02,Group G,Serbia,Switzerland,Fernando Rapallini,Argentina,Juan Pablo Belatti,Argentina,Diego Bonfá,Argentina,Kevin Ortega,Peru,Mauro Vigliano,Argentina,Julio Bascunan,Nicolás Taran,Leodan Gonzalez,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_G
2022,2022-12-02,Group G,Cameroon,Brazil,Ismail Elfath,United States,Kyle Atkins,United States,Corey Parker,United States,Ma Ning,China,Alejandro Hernández,Spain,Juan Martinez,Pau Cebrián Devís,Ricardo de Burgos Bengoetxea,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_G
2022,2022-12-02,Group H,Ghana,Uruguay,Daniel Siebert,Germany,Jan Seidel,Germany,Rafael Foltyn,Germany,Yoshimi Yamashita,Japan,Bastian Dankert,Germany,Pol van Boekel,Ciro Carbone,Paolo Valeri,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H
2022,2022-12-02,Group H,South Korea,Portugal,Facundo Tello,Argentina,Ezequiel Brailovsky,Argentina,Gabriel Chade,Argentina,Maguette Ndiaye,Senegal,Nicolás Gallo,Colombia,Juan Soto,Bruno Boschilia,Armando Villarreal,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_H
2022,2022-12-03,Round of 16,Netherlands,United States,Wilton Sampaio,Brazil,Bruno Boschilia,Brazil,Bruno Pires,Brazil,Andrés Matonte,Uruguay,Nicolás Gallo,Colombia,Juan Soto,Ashley Beecham,Mauro Vigliano,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,2022-12-03,Round of 16,Argentina,Australia,Szymon Marciniak,Poland,Paweł Sokolnicki,Poland,Tomasz Listkiewicz,Poland,Mario Escobar,Guatemala,Tomasz Kwiatkowski,Poland,Marco Fritz,Alessandro Giallatini,Benoît Millot,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,2022-12-04,Round of 16,France,Poland,Jesús Valenzuela,Venezuela,Jorge Urrego,Venezuela,Tulio Moreno,Venezuela,Kevin Ortega,Peru,Juan Soto,Venezuela,Mauro Vigliano,Neuza Back,Julio Bascuñán,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,2022-12-04,Round of 16,England,Senegal,Iván Barton,El Salvador,David Morán,El Salvador,Kathryn Nesbitt,United States,Saíd Martínez,Honduras,Drew Fischer,Canada,Armando Villarreal,Corey Parker,Nicolás Gallo,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage
2022,2022-12-05,Round of 16,Japan,Croatia,Ismail Elfath,United States,Corey Parker,United States,Kyle Atkins,United States,Mustapha Ghorbal,Algeria,Nicolás Gallo,Colombia,Julio Bascuñán,Ezequiel Brailovsky,Paolo Valeri,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage; http://law5-theref.blogspot.com/2022/12/world-cup-2022-referee-appointments-for_3.html
2022,2022-12-05,Round of 16,Brazil,South Korea,Clément Turpin,France,Nicolas Danos,France,Cyril Gringore,France,Slavko Vinčić,Slovenia,Jérôme Brisard,France,Alejandro Hernández Hernández,Roberto Díaz Pérez del Palomar,Benoît Millot,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage; http://law5-theref.blogspot.com/2022/12/world-cup-2022-referee-appointments-for_3.html
2022,2022-12-06,Round of 16,Morocco,Spain,Fernando Rapallini,Argentina,Juan Pablo Belatti,Argentina,Diego Bonfá,Argentina,Raphael Claus,Brazil,Mauro Vigliano,Argentina,Nicolás Gallo,Nicolás Taran,Julio Bascuñán,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage; http://law5-theref.blogspot.com/2022/12/world-cup-2022-referee-appointments-for_4.html
2022,2022-12-06,Round of 16,Portugal,Switzerland,César Arturo Ramos,Mexico,Alberto Morín,Mexico,Miguel Hernández,Mexico,István Kovács,Romania,Drew Fischer,Canada,Massimiliano Irrati,Ciro Carbone,Pol van Boekel,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage; http://law5-theref.blogspot.com/2022/12/world-cup-2022-referee-appointments-for_4.html
2022,2022-12-09,Quarter-finals,Croatia,Brazil,Michael Oliver,England,Stuart Burt,England,Gary Beswick,England,Mustapha Ghorbal,Algeria,Pol van Boekel,Netherlands,Massimiliano Irrati,Kathryn Nesbitt,Juan Soto,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_knockout_stage; https://law5-theref.blogspot.com/2022/12/world-cup-2022-referee-appointments-for_7.html
2022,2022-12-09,Quarter-finals,Netherlands,Argentina,Antonio Mateu Lahoz,Spain,Pau Cebrián Devís,Spain,Roberto Díaz Pérez del Palomar,Spain,Victor Gomes,South Africa,Alejandro Hernández Hernández,Spain,Drew Fischer,Alessandro Giallatini,Julio Bascuñán,https://en.wikipedia.org/wiki/Battle_of_Lusail; https://law5-theref.blogspot.com/2022/12/world-cup-2022-referee-appointments-for_7.html
