tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,fourth_official,fourth_official_country,var,var_country,avar1,avar2,avar3,source_url
2026,2026-06-22,Group J,Argentina,Austria,Amin Omar,Egypt,Mahmoud Abouregal,Egypt,Ahmed Hossam Taha,Egypt,Alejandro Hernández Hernández,Spain,Khamis Al-Marri,Qatar,Mahmoud Ashour,Tatiana Guzmán,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
2026,2026-06-22,Group J,Jordan,Algeria,Slavko Vinčić,Slovenia,Tomaž Klančnik,Slovenia,Andraž Kovačič,Slovenia,Oshane Nation,Jamaica,Ivan Bebek,Croatia,Jarred Gillett,Bram Van Driessche,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
2026,2026-06-23,Group K,Portugal,Uzbekistan,Jalal Jayed,Morocco,Zakaria Brinsi,Morocco,Mostafa Akarkad,Morocco,Abongile Tom,South Africa,Leodán González,Uruguay,Hamza El Fariq,Hernán Mastrángelo,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
2026,2026-06-23,Group K,Colombia,DR Congo,Maurizio Mariani,Italy,Daniele Bindoni,Italy,Alberto Tegoni,Italy,Juan Gabriel Calderón,Costa Rica,Marco Di Bello,Italy,Mohammed Obaid Khadim,Carlos del Cerro Grande,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
2026,2026-06-23,Group L,England,Ghana,Saíd Martínez,Honduras,Walter López,Honduras,Christian Ramírez,Honduras,Ma Ning,China,Armando Villarreal,United States,Erick Miranda,Abdullah Al-Shehri,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
2026,2026-06-23,Group L,Panama,Croatia,Pierre Atcho,Gabon,Boris Ditsoga,Gabon,Amos Abeigne Ndong,Gabon,Khalid Al-Turais,Saudi Arabia,Nicolás Gallo,Colombia,Fu Ming,Bastian Dankert,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
2026,2026-06-24,Group A,Czech Republic,Mexico,Yael Falcón,Argentina,Maximiliano Del Yesso,Argentina,Facundo Rodríguez,Argentina,Cristián Garay,Chile,Juan Lara,Chile,Rodolpho Toski,Ivan Bebek,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,2026-06-24,Group A,South Africa,South Korea,Facundo Tello,Argentina,Juan Pablo Belatti,Argentina,Gabriel Chade,Argentina,Andrés Rojas,Colombia,Hernán Mastrángelo,Argentina,Nicolás Gallo,Bastian Dankert,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
2026,2026-06-24,Group B,Switzerland,Canada,Ramon Abatti,Brazil,Danilo Manis,Brazil,Rafael Alves,Brazil,Kevin Ortega,Peru,Juan Soto,Venezuela,Antonio García,Jarred Gillett,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,2026-06-24,Group B,Bosnia and Herzegovina,Qatar,Jesús Valenzuela,Venezuela,Jorge Urrego,Venezuela,Tulio Moreno,Venezuela,Yusuke Araki,Japan,Tatiana Guzmán,Nicaragua,Leodán González,Shaun Evans,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
2026,2026-06-24,Group C,Scotland,Brazil,César Arturo Ramos,Mexico,Alberto Morín,Mexico,Marco Bisguerra,Mexico,Espen Eskås,Norway,Guillermo Pacheco,Mexico,Abdullah Al-Shehri,Tomasz Kwiatkowski,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,2026-06-24,Group C,Morocco,Haiti,Danny Makkelie,Netherlands,Hessel Steegstra,Netherlands,Jan de Vries,Netherlands,João Pinheiro,Portugal,Dennis Higler,Netherlands,Fedayi San,Bram Van Driessche,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
2026,2026-06-25,Group D,Turkey,United States,Mustapha Ghorbal,Algeria,Mokrane Gourari,Algeria,Abbes Akram Zerhouni,Algeria,Omar Al Ali,United Arab Emirates,Antonio García,Uruguay,Mahmoud Ashour,Juan Lara,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
2026,2026-06-25,Group D,Paraguay,Australia,Clément Turpin,France,Nicolas Danos,France,Benjamin Pagès,France,Oshane Nation,Jamaica,Jérôme Brisard,France,Willy Delajod,Hamza El Fariq,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
2026,2026-06-25,Group E,Curacao,Ivory Coast,Glenn Nyberg,Sweden,Mahbod Beigi,Sweden,Andreas Söderkvist,Sweden,Sandro Schärer,Switzerland,Carlos del Cerro Grande,Spain,Leodán González,Juan Soto,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,2026-06-25,Group E,Ecuador,Germany,Tori Penso,United States,Brooke Mayo,United States,Kathryn Nesbitt,United States,Campbell-Kirk Kawana-Waugh,New Zealand,Joe Dickerson,United States,Fu Ming,Khamis Al-Marri,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
2026,2026-06-25,Group F,Japan,Sweden,Iván Barton,El Salvador,David Morán,El Salvador,Henry Pupiro,Nicaragua,Dahane Beida,Mauritania,Nicolás Gallo,Colombia,Guillermo Pacheco,Rodolpho Toski,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
2026,2026-06-25,Group F,Tunisia,Netherlands,Katia Itzel García,Mexico,Sandra Ramírez,Mexico,José Enrique Naranjo Pérez,Spain,Juan Gabriel Benítez,Paraguay,Erick Miranda,Mexico,Mohammed Obaid Khadim,Hernán Mastrángelo,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
2026,2026-06-26,Group G,Egypt,Iran,Szymon Marciniak,Poland,Tomasz Listkiewicz,Poland,Adam Kupsik,Poland,Yusuke Araki,Japan,Tomasz Kwiatkowski,Poland,Dennis Higler,Shaun Evans,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
2026,2026-06-26,Group G,New Zealand,Belgium,Adham Makhadmeh,Jordan,Mohammad Al-Kalaf,Jordan,Ahmad Al-Roalle,Jordan,Kevin Ortega,Peru,Juan Soto,Venezuela,Erick Miranda,Antonio García,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
2026,2026-06-26,Group H,Cape Verde,Saudi Arabia,François Letexier,France,Cyril Mugnier,France,Mehdi Rahmouni,France,Abongile Tom,South Africa,Marco Di Bello,Italy,Willy Delajod,Joe Dickerson,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
2026,2026-06-26,Group H,Uruguay,Spain,Ismail Elfath,United States,Corey Parker,United States,Kyle Atkins,United States,Juan Gabriel Calderón,Costa Rica,Tatiana Guzmán,Nicaragua,Armando Villarreal,Khamis Al-Marri,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H
2026,2026-06-26,Group I,Norway,France,Michael Oliver,England,Stuart Burt,England,James Mainwaring,England,Ma Ning,China,Jarred Gillett,England,Bram Van Driessche,Abdullah Al-Shehri,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
2026,2026-06-26,Group I,Senegal,Iraq,Anthony Taylor,England,Gary Beswick,England,Adam Nunn,England,Khalid Al-Turais,Saudi Arabia,Ivan Bebek,Croatia,Fedayi San,Carlos del Cerro Grande,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_I
2026,2026-06-27,Group J,Algeria,Austria,Ilgiz Tantashev,Uzbekistan,Andrey Tsapenko,Uzbekistan,Timur Gaynullin,Uzbekistan,Katia Itzel García,Mexico,Leodán González,Uruguay,Shaun Evans,Armando Villarreal,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
2026,2026-06-27,Group J,Jordan,Argentina,István Kovács,Romania,Mihai Marius Marica,Romania,Ferencz Tunyogi,Romania,Dahane Beida,Mauritania,Bram Van Driessche,Belgium,Fedayi San,Marco Di Bello,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_J
2026,2026-06-27,Group K,Colombia,Portugal,Alireza Faghani,Australia,George Lakrindis,Australia,James Lindsay,Australia,Saíd Martínez,Honduras,Jérôme Brisard,France,Hernán Mastrángelo,Mahmoud Ashour,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
2026,2026-06-27,Group K,DR Congo,Uzbekistan,Felix Zwayer,Germany,Robert Kempter,Germany,Christian Dietz,Germany,Alejandro Hernández Hernández,Spain,Bastian Dankert,Germany,Dennis Higler,Jarred Gillett,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K
2026,2026-06-27,Group L,Panama,England,Abdulrahman Al-Jassim,Qatar,Taleb Al-Marri,Qatar,Saud Al-Maqaleh,Qatar,Sandro Schärer,Switzerland,Juan Lara,Chile,Khamis Al-Marri,Abdullah Al-Shehri,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
2026,2026-06-27,Group L,Croatia,Ghana,Drew Fischer,Canada,Micheal Barwegen,Canada,Lyes Arfa,Canada,Campbell-Kirk Kawana-Waugh,New Zealand,Guillermo Pacheco,Mexico,Rodolpho Toski,Tomasz Kwiatkowski,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_L
2026,2026-06-28,Round of 32,South Africa,Canada,João Pinheiro,Portugal,Bruno Jesus,Portugal,Luciano Maia,Portugal,Omar Al Ali,United Arab Emirates,Carlos del Cerro Grande,Spain,Rodolpho Toski,Hernán Mastrángelo,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-06-29,Round of 32,Brazil,Japan,Maurizio Mariani,Italy,Daniele Bindoni,Italy,Alberto Tegoni,Italy,Sandro Schärer,Switzerland,Marco Di Bello,Italy,Ivan Bebek,Joe Dickerson,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-06-29,Round of 32,Germany,Paraguay,Jalal Jayed,Morocco,Zakaria Brinsi,Morocco,Mostafa Akarkad,Morocco,Ma Ning,China,Tatiana Guzmán,Nicaragua,Hamza El-Fariq,Abdullah Al-Shehri,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-06-29,Round of 32,Netherlands,Morocco,Wilton Sampaio,Brazil,Bruno Pires,Brazil,Bruno Boschilia,Brazil,Cristián Garay,Chile,Nicolás Gallo,Colombia,Leodán González,Armando Villarreal,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-06-30,Round of 32,Ivory Coast,Norway,Jesús Valenzuela,Venezuela,Jorge Urrego,Venezuela,Tulio Moreno,Venezuela,Juan Gabriel Benítez,Paraguay,Juan Lara,Chile,Juan Soto,Jarred Gillett,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-06-30,Round of 32,France,Sweden,Danny Makkelie,Netherlands,Hessel Steegstra,Netherlands,Jan de Vries,Netherlands,Tori Penso,United States,Dennis Higler,Netherlands,Bram Van Driessche,Tomasz Kwiatkowski,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-06-30,Round of 32,Mexico,Ecuador,Slavko Vinčić,Slovenia,Tomaž Klančnik,Slovenia,Andraž Kovačič,Slovenia,Mustapha Ghorbal,Algeria,Bastian Dankert,Germany,Willy Delajod,Mahmoud Ashour,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-07-01,Round of 32,England,DR Congo,Adham Makhadmeh,Jordan,Mohammad Al-Kalaf,Jordan,Ahmad Al-Roalle,Jordan,Khalid Al-Turais,Saudi Arabia,Khamis Al-Marri,Qatar,Mohammed Obaid Khadim,Joe Dickerson,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-07-01,Round of 32,Belgium,Senegal,Saíd Martínez,Honduras,Walter López,Honduras,Christian Ramírez,Honduras,Andrés Rojas,Colombia,Guillermo Pacheco,Mexico,Rodolpho Toski,Carlos del Cerro Grande,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-07-01,Round of 32,United States,Bosnia and Herzegovina,Raphael Claus,Brazil,Danilo Manis,Brazil,Rodrigo Figueiredo,Brazil,Darío Herrera,Argentina,Juan Soto,Venezuela,Nicolás Gallo,Jérôme Brisard,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-07-02,Round of 32,Spain,Austria,Glenn Nyberg,Sweden,Mahbod Beigi,Sweden,Andreas Söderkvist,Sweden,Dahane Beida,Mauritania,Tomasz Kwiatkowski,Poland,Fedayi San,Shaun Evans,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-07-02,Round of 32,Portugal,Croatia,Espen Eskås,Norway,Jan Erik Engan,Norway,Isaak Bashevkin,Norway,Abongile Tom,South Africa,Jarred Gillett,England,Dennis Higler,Marco Di Bello,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-07-02,Round of 32,Switzerland,Algeria,Yael Falcón,Argentina,Masimiliano Del Yesso,Argentina,Facundo Rodriguez,Argentina,Kevin Ortega,Peru,Hernán Mastrángelo,Argentina,Erick Miranda,Juan Lara,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-07-03,Round of 32,Australia,Egypt,Gustavo Tejera,Uruguay,Carlos Barreiro,Uruguay,Nicolas Taran,Uruguay,Sandro Schärer,Switzerland,Leodán González,Uruguay,Antonio García,Bastian Dankert,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-07-03,Round of 32,Argentina,Cape Verde,Drew Fischer,Canada,Micheal Barwegen,Canada,Lyes Arfa,Canada,Katia García,Mexico,Armando Villarreal,United States,Ivan Bebek,Tatiana Guzmán,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-07-03,Round of 32,Colombia,Ghana,Clément Turpin,France,Nicolas Danos,France,Benjamin Pagès,France,Alejandro Hernández Hernández,Spain,Jérôme Brisard,France,Willy Delajod,Fu Ming,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_round_of_32
2026,2026-07-04,Round of 16,Canada,Morocco,Michael Oliver,England,Stuart Burt,England,James Mainwaring,England,Danny Makkelie,Netherlands,Jarred Gillett,England,Dennis Higler,Tomasz Kwiatkowski,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-04,Round of 16,Paraguay,France,Ilgiz Tantashev,Uzbekistan,Andrey Tsapenko,Uzbekistan,Timur Gaynullin,Uzbekistan,Abdulrahman Al-Jassim,Qatar,Juan Lara,Chile,Marco Di Bello,Joe Dickerson,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-05,Round of 16,Brazil,Norway,Ismail Elfath,United States,Corey Parker,United States,Kyle Atkins,United States,Saíd Martínez,Honduras,Tatiana Guzmán,Nicaragua,Leodán González,Carlos del Cerro Grande,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-05,Round of 16,Mexico,England,Alireza Faghani,Australia,George Lakrindis,Australia,James Lindsay,Australia,Jalal Jayed,Morocco,Nicolás Gallo,Colombia,Juan Lara,Juan Soto,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-06,Round of 16,Portugal,Spain,Anthony Taylor,England,Gary Beswick,England,Adam Nunn,England,Felix Zwayer,Germany,Bastian Dankert,Germany,Antonio García,Marco Di Bello,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-06,Round of 16,United States,Belgium,Adham Makhadmeh,Jordan,Mohammad Al-Kalaf,Jordan,Ahmad Al-Roalle,Jordan,Pierre Atcho,Gabon,Khamis Al-Marri,Qatar,Nicolás Gallo,Hernán Mastrángelo,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-07,Round of 16,Argentina,Egypt,François Letexier,France,Cyril Mugnier,France,Mehdi Rahmouni,France,Espen Eskås,Norway,Jérôme Brisard,France,Willy Delajod,Bram Van Driessche,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-07,Round of 16,Switzerland,Colombia,Iván Barton,El Salvador,David Morán,El Salvador,Henry Pupiro,Nicaragua,Katia Itzel García,Mexico,Guillermo Pacheco,Mexico,Armando Villarreal,Ivan Bebek,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-09,Quarter-finals,France,Morocco,Facundo Tello,Argentina,Juan Pablo Belatti,Argentina,Gabriel Chade,Argentina,Darío Herrera,Argentina,Hernán Mastrángelo,Argentina,Leodán González,Tatiana Guzmán,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-10,Quarter-finals,Spain,Belgium,Michael Oliver,England,Stuart Burt,England,James Mainwaring,England,Ramon Abatti,Brazil,Jarred Gillett,England,Ivan Bebek,Joe Dickerson,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-11,Quarter-finals,Norway,England,Clément Turpin,France,Nicolas Danos,France,Benjamin Pagès,France,Alejandro Hernández Hernández,Spain,Jérôme Brisard,France,Armando Villarreal,Carlos del Cerro Grande,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-11,Quarter-finals,Argentina,Switzerland,João Pinheiro,Portugal,Bruno Jesus,Portugal,Luciano Maia,Portugal,Drew Fischer,Canada,Guillermo Pacheco,Mexico,Juan Lara,Marco Di Bello,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-14,Semi-finals,France,Spain,Iván Barton,El Salvador,David Morán,El Salvador,Henry Pupiro,Nicaragua,Glenn Nyberg,Sweden,Tomasz Kwiatkowski,Poland,Dennis Higler,Guillermo Pacheco,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
2026,2026-07-15,Semi-finals,England,Argentina,Ismail Elfath,United States,Corey Parker,United States,Kyle Atkins,United States,Maurizio Mariani,Italy,Marco Di Bello,Italy,Juan Lara,Tatiana Guzmán,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage
