tournament_year,official_name,country,confederation,role_pool,source_url
1990,Shizuo Takada,Japan,AFC,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Jamal Al Sharif,Syria,AFC,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Neji Jouini,Tunisia,CAF,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Edgardo Codesal,Mexico,CONCACAF,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Vincent Mauro,United States,CONCACAF,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Juan Carlos Loustau,Argentina,CONMEBOL,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,José Roberto Wright,Brazil,CONMEBOL,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Hernán Silva,Chile,CONMEBOL,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Elías Jácome,Ecuador,CONMEBOL,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Carlos Maciel,Paraguay,CONMEBOL,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Juan Daniel Cardellino,Uruguay,CONMEBOL,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Helmut Kohl,Austria,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Marcel Van Langenhove,Belgium,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Peter Mikkelsen,Denmark,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Siegfried Kirschen,East Germany,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,George Courtney,England,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Joël Quiniou,France,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Michel Vautrot,France,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Luigi Agnolin,Italy,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Tullio Lanese,Italy,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Alan Snoddy,Northern Ireland,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Carlos Silva Valente,Portugal,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,George Smith,Scotland,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Alexey Spirin,Soviet Union,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Emilio Soriano Aladrén,Spain,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Erik Fredriksson,Sweden,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Kurt Röthlisberger,Switzerland,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Aron Schmidhuber,West Germany,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Zoran Petrović,Yugoslavia,UEFA,referee (also served as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Jassim Mandi,Bahrain,AFC,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Mohamed Hansal,Algeria,CAF,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Jean-Fidèle Diramba,Gabon,CAF,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Berny Ulloa Morera,Costa Rica,CONCACAF,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Armando Pérez Hoyos,Colombia,CONMEBOL,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Richard Lorenc,Australia,OFC,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Carlo Longhi,Italy,UEFA,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Pierluigi Magni,Italy,UEFA,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Pierluigi Pairetto,Italy,UEFA,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Pietro d'Elia,Italy,UEFA,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Rosario Lo Bello,Italy,UEFA,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1990,Michał Listkiewicz,Poland,UEFA,assistant (used only as linesman),https://en.wikipedia.org/wiki/1990_FIFA_World_Cup#Match_officials
1994,Jamal Al Sharif,Syria,AFC,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Ali Bujsaim,United Arab Emirates,AFC,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Lim Kee Chong,Mauritius,CAF,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Neji Jouini,Tunisia,CAF,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Rodrigo Badilla,Costa Rica,CONCACAF,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Arturo Brizio Carter,Mexico,CONCACAF,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Arturo Angeles,United States,CONCACAF,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Francisco Oscar Lamolina,Argentina,CONMEBOL,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Renato Marsiglia,Brazil,CONMEBOL,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,José Torres Cadena,Colombia,CONMEBOL,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Alberto Tejada Noriega,Peru,CONMEBOL,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Ernesto Filippi,Uruguay,CONMEBOL,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Peter Mikkelsen,Denmark,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Philip Don,England,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Joël Quiniou,France,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Hellmut Krug,Germany,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Sándor Puhl,Hungary,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Fabio Baldas,Italy,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Pierluigi Pairetto,Italy,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Mario van der Ende,Netherlands,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Leslie Mottram,Scotland,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Manuel Díaz Vega,Spain,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Bo Karlsson,Sweden,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Kurt Röthlisberger,Switzerland,UEFA,referee,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup#Referees
1994,Abdulla Al Ghattan,Bahrain,AFC,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Mohammad Fanaei,Iran,AFC,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Park Hae-young,South Korea,AFC,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_D
1994,Abdel-Magid Hassan,Egypt,CAF,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,El Jilali Rharib,Morocco,CAF,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Raimundo Calix Garcia,Honduras,CONCACAF,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C
1994,Douglas Micael James,Trinidad and Tobago,CONCACAF,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Ernesto Taibi,Argentina,CONMEBOL,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Paulo Jorge Alves,Brazil,CONMEBOL,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_D
1994,Venancio Zarate,Paraguay,CONMEBOL,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Eugene Brazzale,Australia,OFC,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C
1994,Gordon Dunster,Australia,OFC,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Luc Matthys,Belgium,UEFA,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B
1994,Carl-Johan Meyer Christensen,Denmark,UEFA,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Roy Pearson,England,UEFA,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C
1994,Tapio Yli-Karro,Finland,UEFA,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_D
1994,Sándor Márton,Hungary,UEFA,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_B
1994,Domenico Ramicone,Italy,UEFA,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Jan Dolstra,Netherlands,UEFA,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_A
1994,Michał Listkiewicz,Poland,UEFA,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_E
1994,Valentin Ivanov,Russia,UEFA,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C
1994,Mikael Erik Everstig,Sweden,UEFA,linesman,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup_Group_C
1998,Masayoshi Okada,Japan,AFC,referee,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup#Match_officials
1998,Abdul Rahman Al-Zaid,Saudi Arabia,AFC,referee,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup#Match_officials
1998,Pirom Un-Prasert,Thailand,AFC,referee,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup#Match_officials
1998,Ali Bujsaim,United Arab Emirates,AFC,referee,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup#Match_officials
