tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,source_url
1958,1958-06-15,Group 4,England,Austria,Jan Bronkhorst,Netherlands,Albert Dusch,West Germany,István Zsolt,Hungary,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-17,Group 1 play-off,Northern Ireland,Czechoslovakia,Maurice Guigue,France,Sten Ahlner,Sweden,Joaquim Campos,Portugal,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-17,Group 3 play-off,Wales,Hungary,Nikolay Latyshev,Soviet Union,José María Codesal,Uruguay,Arne Eriksson,Finland,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
1958,1958-06-17,Group 4 play-off,Soviet Union,England,Albert Dusch,West Germany,Fritz Seipelt,Austria,Jan Bronkhorst,Netherlands,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-19,Quarter-finals,Brazil,Wales,Fritz Seipelt,Austria,Albert Dusch,West Germany,Maurice Guigue,France,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-19,Quarter-finals,France,Northern Ireland,Juan Garay Gardeazábal,Spain,Andrén,Sweden,Nikolay Latyshev,Soviet Union,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1958_FIFA_World_Cup
1958,1958-06-19,Quarter-finals,Sweden,Soviet Union,Reginald Leafe,England,Juan Regis Brozzi,Argentina,Dragvoll,Norway,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-19,Quarter-finals,West Germany,Yugoslavia,Raymond Wyssling,Switzerland,Joaquim Campos,Portugal,Helge,Denmark,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-24,Semi-finals,Brazil,France,Sandy Griffiths,Wales,Reginald Leafe,England,Raymond Wyssling,Switzerland,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-24,Semi-finals,Sweden,West Germany,István Zsolt,Hungary,Fritz Seipelt,Austria,Arthur Edward Ellis,England,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-28,Third place play-off,France,West Germany,Juan Regis Brozzi,Argentina,Arthur Edward Ellis,England,Lundell,Sweden,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1958,1958-06-29,Final,Brazil,Sweden,Maurice Guigue,France,Albert Dusch,West Germany,Juan Garay Gardeazábal,Spain,https://www.rsssf.org/tables/58full.html; https://github.com/jfjelstul/worldcup
1962,1962-05-30,Group 1,Uruguay,Colombia,Andor Dorogi,Hungary,João Etzel Filho,Brazil,Karol Galba,Czechoslovakia,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-05-30,Group 2,Chile,Switzerland,Kenneth Aston,England,Antoine Blavier,Belgium,Arturo Yamasaki Maldonado,Peru,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-05-30,Group 3,Brazil,Mexico,Gottfried Dienst,Switzerland,Pierre Schwinte,France,Carl Erich Steiner,Austria,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-05-30,Group 4,Argentina,Bulgaria,Juan Garay Gardeazábal,Spain,Morgan,Canada,Buergo,Mexico,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-05-31,Group 1,Soviet Union,Yugoslavia,Albert Dusch,West Germany,Carlos Robles,Chile,João Etzel Filho,Brazil,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-05-31,Group 2,West Germany,Italy,Bobby Davidson,Scotland,Morgan,Canada,Ventre,Argentina,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-05-31,Group 3,Czechoslovakia,Spain,Carl Erich Steiner,Austria,Marmo,Uruguay,van Rosberg,Netherlands Antilles,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-05-31,Group 4,Hungary,England,Leo Horn,Netherlands,Antoine Blavier,Belgium,Goldstein,Israel,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-02,Group 1,Yugoslavia,Uruguay,Karol Galba,Czechoslovakia,Albert Dusch,West Germany,Cesare Jonni,Italy,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-02,Group 2,Chile,Italy,Kenneth Aston,England,Goldstein,Israel,Buergo,Mexico,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-02,Group 3,Brazil,Czechoslovakia,Pierre Schwinte,France,Gottfried Dienst,Switzerland,Massaro,Chile,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-02,Group 4,England,Argentina,Nikolay Latyshev,Soviet Union,Morgan,Canada,Reginato,Chile,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
1962,1962-06-03,Group 1,Soviet Union,Colombia,João Etzel Filho,Brazil,Carlos Robles,Chile,Andor Dorogi,Hungary,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-03,Group 2,West Germany,Switzerland,Leo Horn,Netherlands,Nikolay Latyshev,Soviet Union,Ventre,Argentina,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
1962,1962-06-03,Group 3,Spain,Mexico,Branko Tesanić,Yugoslavia,Vicuña,Chile,van Rosberg,Netherlands Antilles,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-03,Group 4,Hungary,Bulgaria,Juan Garay Gardeazábal,Spain,Silva,Chile,Bobby Davidson,Scotland,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-06,Group 1,Soviet Union,Uruguay,Cesare Jonni,Italy,Albert Dusch,West Germany,Andor Dorogi,Hungary,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-06,Group 2,West Germany,Chile,Bobby Davidson,Scotland,Leo Horn,Netherlands,Kenneth Aston,England,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-06,Group 3,Brazil,Spain,Sergio Bustamante,Chile,Esteban Marino,Uruguay,Sundhelm,Colombia,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-06,Group 4,Hungary,Argentina,Arturo Yamasaki Maldonado,Peru,Juan Garay Gardeazábal,Spain,Bulnes,Chile,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-07,Group 1,Yugoslavia,Colombia,Carlos Robles,Chile,Karol Galba,Czechoslovakia,Cesare Jonni,Italy,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-07,Group 2,Italy,Switzerland,Nikolay Latyshev,Soviet Union,Bobby Davidson,Scotland,Dimitar Rumenchev,Bulgaria,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
1962,1962-06-07,Group 3,Mexico,Czechoslovakia,Gottfried Dienst,Switzerland,Branko Tesanić,Yugoslavia,Sundhelm,Colombia,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-07,Group 4,England,Bulgaria,Antoine Blavier,Belgium,Reginato,Chile,Bulnes,Chile,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-10,Quarter-finals,Brazil,England,Pierre Schwinte,France,Gottfried Dienst,Switzerland,Sergio Bustamante,Chile,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-10,Quarter-finals,Chile,Soviet Union,Leo Horn,Netherlands,João Etzel Filho,Brazil,Karol Galba,Czechoslovakia,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-10,Quarter-finals,Czechoslovakia,Hungary,Nikolay Latyshev,Soviet Union,Dimitar Rumenchev,Bulgaria,Buergo,Mexico,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
1962,1962-06-10,Quarter-finals,Yugoslavia,West Germany,Arturo Yamasaki Maldonado,Peru,Silva,Chile,Ventre,Argentina,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-13,Semi-finals,Brazil,Chile,Arturo Yamasaki Maldonado,Peru,Ventre,Argentina,Esteban Marino,Uruguay,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-13,Semi-finals,Czechoslovakia,Yugoslavia,Gottfried Dienst,Switzerland,Cesare Jonni,Italy,Carl Erich Steiner,Austria,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-16,Third place play-off,Chile,Yugoslavia,Juan Garay Gardeazábal,Spain,Albert Dusch,West Germany,Andor Dorogi,Hungary,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup
1962,1962-06-17,Final,Brazil,Czechoslovakia,Nikolay Latyshev,Soviet Union,Bobby Davidson,Scotland,Leo Horn,Netherlands,https://www.rsssf.org/tables/62full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1962_FIFA_World_Cup
1966,1966-07-11,Group 1,England,Uruguay,István Zsolt,Hungary,Tofiq Bahramov,Soviet Union,Dimitar Rumenchev,Bulgaria,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-12,Group 2,West Germany,Switzerland,Hugh Phillips,Scotland,John Adair,Northern Ireland,Bertil Lööw,Sweden,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-12,Group 3,Brazil,Bulgaria,Kurt Tschenscher,West Germany,George McCabe,England,Taylor,England,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-12,Group 4,Soviet Union,North Korea,Juan Garay Gardeazábal,Spain,Ali Kandil,United Arab Republic,Gottfried Dienst,Switzerland,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-13,Group 1,France,Mexico,Menachem Ashkenazi,Israel,Karol Galba,Czechoslovakia,Joaquim Campos,Portugal,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-13,Group 2,Argentina,Spain,Dimitar Rumenchev,Bulgaria,Arturo Yamasaki Maldonado,Peru,Konstantin Zečević,Yugoslavia,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-13,Group 3,Portugal,Hungary,Leo Callaghan,Wales,Clements,England,Howley,England,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-13,Group 4,Italy,Chile,Gottfried Dienst,Switzerland,Rudolf Kreitlein,West Germany,Jim Finney,England,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-15,Group 1,Uruguay,France,Karol Galba,Czechoslovakia,Armando Marques,Brazil,Leo Callaghan,Wales,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-15,Group 2,Spain,Switzerland,Tofiq Bahramov,Soviet Union,István Zsolt,Hungary,Hugh Phillips,Scotland,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-15,Group 3,Hungary,Brazil,Ken Dagnall,England,Howley,England,Arturo Yamasaki,Peru,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1966_FIFA_World_Cup
1966,1966-07-15,Group 4,Chile,North Korea,Ali Kandil,United Arab Republic,Crawford,England,Jim Finney,England,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-16,Group 2,Argentina,West Germany,Konstantin Zečević,Yugoslavia,Joaquim Campos,Portugal,Bertil Lööw,Sweden,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-16,Group 3,Portugal,Bulgaria,José María Codesal,Uruguay,Roberto Goicoechea,Argentina,Kurt Tschenscher,West Germany,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-16,Group 4,Soviet Union,Italy,Rudolf Kreitlein,West Germany,Ali Kandil,United Arab Republic,Crawford,England,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-16,Group 1,England,Mexico,Concetto Lo Bello,Italy,Menachem Ashkenazi,Israel,Choi Duk-ryong,North Korea,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-19,Group 1,Mexico,Uruguay,Bertil Lööw,Sweden,Concetto Lo Bello,Italy,Vicuña,Chile,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-19,Group 2,Argentina,Switzerland,Joaquim Campos,Portugal,Tofiq Bahramov,Soviet Union,István Zsolt,Hungary,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-19,Group 3,Portugal,Brazil,George McCabe,England,Leo Callaghan,Wales,Ken Dagnall,England,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-19,Group 4,North Korea,Italy,Pierre Schwinte,France,John Adair,Northern Ireland,Taylor,England,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-20,Group 1,England,France,Arturo Yamasaki Maldonado,Peru,Karol Galba,Czechoslovakia,Dimitar Rumenchev,Bulgaria,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-20,Group 2,West Germany,Spain,Armando Marques,Brazil,Vicuña,Chile,Choi Duk-ryong,North Korea,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-20,Group 3,Hungary,Bulgaria,Roberto Goicoechea,Argentina,Juan Garay Gardeazábal,Spain,José María Codesal,Uruguay,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-20,Group 4,Soviet Union,Chile,John Adair,Northern Ireland,Clements,England,Pierre Schwinte,France,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-23,Quarter-finals,England,Argentina,Rudolf Kreitlein,West Germany,Gottfried Dienst,Switzerland,István Zsolt,Hungary,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-23,Quarter-finals,Portugal,North Korea,Menachem Ashkenazi,Israel,Pierre Schwinte,France,Karol Galba,Czechoslovakia,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-23,Quarter-finals,Soviet Union,Hungary,Juan Garay Gardeazábal,Spain,Joaquim Campos,Portugal,José María Codesal,Uruguay,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-23,Quarter-finals,West Germany,Uruguay,Jim Finney,England,Hugh Phillips,Scotland,Ali Kandil,United Arab Republic,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-25,Semi-finals,West Germany,Soviet Union,Concetto Lo Bello,Italy,Juan Garay Gardeazábal,Spain,José María Codesal,Uruguay,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-26,Semi-finals,England,Portugal,Pierre Schwinte,France,Konstantin Zečević,Yugoslavia,Arturo Yamasaki,Peru,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1966_FIFA_World_Cup
1966,1966-07-28,Third place play-off,Portugal,Soviet Union,Ken Dagnall,England,Howley,England,Ali Kandil,United Arab Republic,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1966,1966-07-30,Final,England,West Germany,Gottfried Dienst,Switzerland,Tofiq Bahramov,Soviet Union,Karol Galba,Czechoslovakia,https://www.rsssf.org/tables/66full.html; https://github.com/jfjelstul/worldcup
1970,1970-05-31,Group 1,Mexico,Soviet Union,Kurt Tschenscher,West Germany,Jack Taylor,England,Dunstan,Bermuda,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-02,Group 2,Uruguay,Israel,Bobby Davidson,Scotland,Rudolf Scheurer,Switzerland,Seyoum Tarekegn,Ethiopia,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-02,Group 3,England,Romania,Vital Loraux,Belgium,Roger Machin,France,Diego De Leo,Mexico,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-02,Group 4,Peru,Bulgaria,Antonio Sbardella,Italy,Abel Aguilar Elizalde,Mexico,Maruyama,Japan,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-03,Group 1,Belgium,El Salvador,Andrei Rădulescu,Romania,Kurt Tschenscher,West Germany,Rudi Glöckner,East Germany,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-03,Group 2,Italy,Sweden,Jack Taylor,England,Rudolf Scheurer,Switzerland,Ali Kandil,United Arab Republic,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-03,Group 3,Brazil,Czechoslovakia,Ramón Barreto Ruíz,Uruguay,Arturo Yamasaki,Mexico,Abraham Klein,Israel,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1970_FIFA_World_Cup
1970,1970-06-03,Group 4,West Germany,Morocco,Laurens van Ravens,Netherlands,José María Ortiz de Mendíbil,Spain,Velasquez,Colombia,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-06,Group 1,Soviet Union,Belgium,Rudolf Scheurer,Switzerland,Bobby Davidson,Scotland,Henry Landauer,United States,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-06,Group 2,Uruguay,Italy,Rudi Glöckner,East Germany,Kurt Tschenscher,West Germany,Horvat,Yugoslavia,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-06,Group 3,Romania,Czechoslovakia,Diego De Leo,Mexico,Vital Loraux,Belgium,Emsberger,Hungary,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-06,Group 4,Peru,Morocco,Tofiq Bahramov,Soviet Union,Antonio Sbardella,Italy,Maruyama,Japan,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-07,Group 1,Mexico,El Salvador,Ali Kandil,United Arab Republic,Dunstan,Bermuda,Jack Taylor,England,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-07,Group 2,Sweden,Israel,Seyoum Tarekegn,Ethiopia,Horvat,Yugoslavia,Andrei Rădulescu,Romania,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-07,Group 3,Brazil,England,Abraham Klein,Israel,Roger Machin,France,Arturo Yamasaki,Mexico,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1970_FIFA_World_Cup
1970,1970-06-07,Group 4,West Germany,Bulgaria,José María Ortiz de Mendíbil,Spain,Antonio Ribeiro Saldanha,Portugal,Velasquez,Colombia,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-10,Group 1,Soviet Union,El Salvador,Rafael Hormazábal Díaz,Chile,Ángel Norberto Coerezza,Argentina,Ayrton Vieira de Moraes,Brazil,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-10,Group 2,Sweden,Uruguay,Henry Landauer,United States,Jack Taylor,England,Andrei Rădulescu,Romania,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-10,Group 3,Brazil,Romania,Ferdinand Marschall,Austria,Ramón Barreto Ruíz,Uruguay,Vital Loraux,Belgium,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-10,Group 4,West Germany,Peru,Abel Aguilar Elizalde,Mexico,José María Ortiz de Mendíbil,Spain,Antonio Sbardella,Italy,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-11,Group 1,Mexico,Belgium,Ángel Norberto Coerezza,Argentina,Henry Landauer,United States,Rafael Hormazábal Díaz,Chile,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-11,Group 2,Italy,Israel,Ayrton Vieira de Moraes,Brazil,Kurt Tschenscher,West Germany,Seyoum Tarekegn,Ethiopia,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-11,Group 3,England,Czechoslovakia,Roger Machin,France,Ferdinand Marschall,Austria,Emsberger,Hungary,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-11,Group 4,Bulgaria,Morocco,Antonio Ribeiro Saldanha,Portugal,Laurens van Ravens,Netherlands,Tofiq Bahramov,Soviet Union,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-14,Quarter-finals,Brazil,Peru,Vital Loraux,Belgium,Ferdinand Marschall,Austria,Emsberger,Hungary,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-14,Quarter-finals,Italy,Mexico,Rudolf Scheurer,Switzerland,Henry Landauer,United States,Dunstan,Bermuda,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-14,Quarter-finals,Soviet Union,Uruguay,Laurens van Ravens,Netherlands,Rudi Glöckner,East Germany,Bobby Davidson,Scotland,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-14,Quarter-finals,West Germany,England,Ángel Norberto Coerezza,Argentina,José María Ortiz de Mendíbil,Spain,Velasquez,Colombia,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-17,Semi-finals,Brazil,Uruguay,José María Ortiz de Mendíbil,Spain,Ferdinand Marschall,Austria,Tofiq Bahramov,Soviet Union,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-17,Semi-finals,Italy,West Germany,Arturo Yamasaki Maldonado,Peru,Velasquez,Colombia,Rafael Hormazábal Díaz,Chile,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-20,Third place play-off,West Germany,Uruguay,Antonio Sbardella,Italy,Ferdinand Marschall,Austria,Abel Aguilar Elizalde,Mexico,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1970,1970-06-21,Final,Brazil,Italy,Rudi Glöckner,East Germany,Rudolf Scheurer,Switzerland,Ángel Norberto Coerezza,Argentina,https://www.rsssf.org/tables/70full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-13,Group 2,Brazil,Yugoslavia,Rudolf Scheurer,Switzerland,Vital Loraux,Belgium,Luis Pestarino,Argentina,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-14,Group 1,West Germany,Chile,Doğan Babacan,Turkey,Jack Taylor,England,Werner Winsemann,Canada,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-14,Group 1,East Germany,Australia,Youssou N'Diaye,Senegal,Pablo Sánchez Ibáñez,Spain,Omar Delgado Gómez,Colombia,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-14,Group 2,Zaire,Scotland,Gerhard Schulenburg,West Germany,Hans-Joachim Weyland,West Germany,Tony Boskovic,Australia,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-15,Group 3,Sweden,Bulgaria,Edison Peréz Núñez,Peru,Alfonso González Archundía,Mexico,Govindasamy Suppiah,Singapore,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-15,Group 3,Uruguay,Netherlands,Károly Palotai,Hungary,Pavel Kazakov,Soviet Union,Nicolae Rainea,Romania,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-15,Group 4,Italy,Haiti,Vicente Llobregat,Venezuela,Armando Marques,Brazil,Jafar Namdar,Iran,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-15,Group 4,Poland,Argentina,Clive Thomas,Wales,Bobby Davidson,Scotland,Heinz Aldinger,West Germany,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1974_FIFA_World_Cup
1974,1974-06-18,Group 1,Australia,West Germany,Mahmoud Mustafa Kamel,Egypt,Alfonso González Archundía,Mexico,Edison Peréz Núñez,Peru,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-18,Group 1,Chile,East Germany,Aurelio Angonese,Italy,Rudolf Scheurer,Switzerland,Bobby Davidson,Scotland,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-18,Group 2,Scotland,Brazil,Arie van Gemert,Netherlands,Erich Linemayr,Austria,Károly Palotai,Hungary,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-18,Group 2,Yugoslavia,Zaire,Omar Delgado Gómez,Colombia,Ramón Barreto Ruíz,Uruguay,Vicente Llobregat,Venezuela,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-19,Group 3,Bulgaria,Uruguay,Jack Taylor,England,Doğan Babacan,Turkey,Ohmsen,West Germany,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-19,Group 3,Netherlands,Sweden,Werner Winsemann,Canada,Kurt Tschenscher,West Germany,Clive Thomas,Wales,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-19,Group 4,Argentina,Italy,Pavel Kazakov,Soviet Union,Rudi Glöckner,East Germany,Nicolae Rainea,Romania,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-19,Group 4,Haiti,Poland,Govindasamy Suppiah,Singapore,Walter Eschweiler,West Germany,Ferdinand Biwersi,West Germany,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-22,Group 1,Australia,Chile,Jafar Namdar,Iran,Vital Loraux,Belgium,Arie van Gemert,Netherlands,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-22,Group 2,Scotland,Yugoslavia,Alfonso González Archundía,Mexico,Kurt Tschenscher,West Germany,Rudi Glöckner,East Germany,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-22,Group 2,Zaire,Brazil,Nicolae Rainea,Romania,Aurelio Angonese,Italy,Ohmsen,West Germany,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
1974,1974-06-22,Group 1,East Germany,West Germany,Ramón Barreto Ruíz,Uruguay,Armando Marques,Brazil,Luis Pestarino,Argentina,https://www.rsssf.org/tables/74full.html; https://github.com/jfjelstul/worldcup
