tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,source_url
1934,1934-05-31,Quarter-finals,Czechoslovakia,Switzerland,Alois Beranek,Austria,Mohammed,Egypt,Louis Baert,Belgium,https://www.rsssf.org/tables/34full.html; https://github.com/jfjelstul/worldcup
1934,1934-05-31,Quarter-finals,Germany,Sweden,Rinaldo Barlassina,Italy,Johannes van Moorsel,Netherlands,René Mercet,Switzerland,https://www.rsssf.org/tables/34full.html; https://github.com/jfjelstul/worldcup
1934,1934-05-31,Quarter-finals,Italy,Spain,Louis Baert,Belgium,Mihály Iváncsics,Hungary,Ženišek,Czechoslovakia,https://www.rsssf.org/tables/34full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/Mihaly_Ivancsics
1934,1934-06-01,Quarter-finals replay,Italy,Spain,René Mercet,Switzerland,Mihály Iváncsics,Hungary,Ženišek,Czechoslovakia,https://www.rsssf.org/tables/34full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/Mihaly_Ivancsics
1934,1934-06-03,Semi-finals,Czechoslovakia,Germany,Rinaldo Barlassina,Italy,Alois Beranek,Austria,Pedro Escartín,Spain,https://www.rsssf.org/tables/34full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/Pedro_Escart%C3%ADn
1934,1934-06-03,Semi-finals,Italy,Austria,Ivan Eklind,Sweden,Louis Baert,Belgium,Ženišek,Czechoslovakia,https://www.rsssf.org/tables/34full.html; https://github.com/jfjelstul/worldcup
1934,1934-06-07,Third place play-off,Germany,Austria,Albino Carraro,Italy,Caironi,Italy,Pedro Escartín,Spain,https://www.rsssf.org/tables/34full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/Pedro_Escart%C3%ADn
1934,1934-06-10,Final,Italy,Czechoslovakia,Ivan Eklind,Sweden,Louis Baert,Belgium,Mihály Iváncsics,Hungary,https://www.rsssf.org/tables/34full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/Mihaly_Ivancsics
1938,1938-06-04,Round of 16,Switzerland,Germany,John Langenus,Belgium,Johannes van Moorsel,Netherlands,Marenco,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-05,Round of 16,Cuba,Romania,Giuseppe Scarpi,Italy,Valprede,France,Mercx,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-05,Round of 16,France,Belgium,Hans Wüthrich,Switzerland,Augustin Krist,Czechoslovakia,Alfred Birlem,Germany,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-05,Round of 16,Hungary,Dutch East Indies,Roger Conrié,France,Delasalle,France,Weingärtner,Germany,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-05,Round of 16,Italy,Norway,Alois Beranek,Austria,Bouture,France,Tréhou,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-05,Round of 16,Brazil,Poland,Ivan Eklind,Sweden,Poissant,France,Kissenberger,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-05,Round of 16,Czechoslovakia,Netherlands,Lucien Leclerq,France,Olive,France,Sedez,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-09,Round of 16 replay,Cuba,Romania,Alfred Birlem,Germany,Georges Capdeville,France,Marenco,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-09,Round of 16 replay,Switzerland,Germany,Ivan Eklind,Sweden,Louis Baert,Belgium,Johannes van Moorsel,Netherlands,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-12,Quarter-finals,Brazil,Czechoslovakia,Pál von Hertzka,Hungary,Giuseppe Scarpi,Italy,Delasalle,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-12,Quarter-finals,Hungary,Switzerland,Rinaldo Barlassina,Italy,Alois Beranek,Austria,Bouture,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-12,Quarter-finals,Italy,France,Louis Baert,Belgium,Hans Wüthrich,Switzerland,Ivan Eklind,Sweden,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-12,Quarter-finals,Sweden,Cuba,Augustin Krist,Czechoslovakia,Weingärtner,Germany,Sedez,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
1938,1938-06-14,Quarter-finals replay,Brazil,Czechoslovakia,Georges Capdeville,France,Kissenberger,France,Marenco,France,https://www.rsssf.org/tables/38full.html; https://github.com/jfjelstul/worldcup
